time,CO06LIFI,CO05BAFI,CO04LIFI,CO04BAFI,CO93COTW,CO00URMA,CO14CABT,CO04KIVA,CO96QUVA,CO99GUMI,CO98QUNC,CO12GOVA,CO99DRGB,CO13HENG,CO13HENG,CO13HENG,CO06QUNG,CO07CAFR,CO95TUNG,CO01TUNG,CO01TUNG,CO05ASGU,CO04MGNG,CO14OSPA,CO14OSPA,CO03CHBU,CO14CATI,CO17RAPA,CO17RAPA,CO17LITW01A,CO17MUMA,CO03CHBA,CO00KUNI,CO99KUHO,CO14ZIHO,CO17XISC01A,CO17DESC04A,CO17DESC01A,CO17DESC02A,CO17DESC03A,CO13DESC01A,CO15ABSP,CO08ABSU,CO18HECO01A,CO18HECO01B,CO04PFCH,CO97CHSY,CO04PFRE,CO00COKY,CO09NAKY,CO98SWPR,CO06MOPE,CO06MOTO,CO10HEIG,CO02KUBE,CO05KUBE,CO00DRBE,CO08GOBE,CO08HEVE,CO08KIPR,CO17WUBO1A,CO18RELC01A,CO96SWBB,CO96SWFB,CO99SWFB,CO94LISE,CO13CAHN,CO13CAHN,CO13CABL,CO92SHPU,CO94DUUR,CO99LICL,CO14WUCL,CO98BOFP,CO13COXM,CO98EVXM,CO13COTB,CO09NUTB,CO04LIRA,CO03COPM,CO11NUPM,CO18DATO01A
1850-02-01 00:00:00,0.2105236,0.2105236,0.2105236,0.2105236,0.2797842,0.2849102,0.2759695,0.17142296,0.16367435,0.31983852,0.3541708,0.16498566,0.3656149,0.25355816,0.25355816,0.25355816,0.31638145,0.30004978,0.25570393,0.25570393,0.25570393,0.1347065,0.29051304,0.14734268,0.14734268,-0.20289421,-0.2450943,0.18155575,0.18155575,0.14710426,-0.65147877,-0.56040287,-0.07635355,0.1360178,0.1360178,-0.18441677,-0.18441677,-0.18441677,-0.18441677,-0.18441677,-0.18441677,-0.5182028,-0.60623884,-0.19776821,-0.19776821,0.06830692,0.09572506,0.108242035,0.15437603,0.15819073,-0.15175343,0.62692165,0.54991245,0.767231,0.9138584,0.9138584,0.9138584,0.94509125,0.6879568,0.8713007,0.7171631,0.78356266,0.7760525,0.772357,0.772357,-0.14740229,0.7375479,0.7375479,0.7458925,0.081539154,0.09167194,-0.009059906,-0.009059906,0.49591064,0.24330616,0.24175644,0.24795532,0.24795532,0.2990961,0.2361536,0.2361536,0.23925304
1850-03-01 00:00:00,0.19133091,0.19133091,0.19133091,0.19133091,0.28812885,0.29277802,0.28467178,0.14603138,0.14221668,0.3169775,0.3271103,0.13971329,0.34594536,0.23245811,0.23245811,0.23245811,0.3361702,0.28467178,0.22900105,0.22900105,0.22900105,0.13172626,0.2706051,0.11861324,0.11861324,-0.2540946,-0.29152632,0.20372868,0.20372868,0.19133091,-0.7048845,-0.56529045,-0.14477968,0.098347664,0.098347664,-0.13762712,-0.13762712,-0.13762712,-0.13762712,-0.13762712,-0.13762712,-0.46408176,-0.58335066,-0.2591014,-0.2591014,0.031232834,0.10049343,0.08738041,0.14030933,0.14638901,-0.0071525574,0.6119013,0.54883957,0.76138973,0.9161234,0.9161234,0.9161234,0.9481907,0.6945133,0.89251995,0.74100494,0.79607964,0.7867813,0.78189373,0.78189373,-0.07635355,0.7660389,0.7660389,0.76675415,0.096440315,0.12981892,0.046491623,0.046491623,0.4864931,0.24235249,0.24151802,0.24998188,0.24998188,0.26845932,0.23937225,0.23937225,0.21886826
1850-04-01 00:00:00,0.17511845,0.17511845,0.17511845,0.17511845,0.29218197,0.29933453,0.2835989,0.101685524,0.101685524,0.3246069,0.31852722,0.10025501,0.3670454,0.182271,0.182271,0.182271,0.31125546,0.28145313,0.16784668,0.16784668,0.16784668,0.13315678,0.19443035,0.05376339,0.05376339,-0.34719706,-0.29212236,0.20635128,0.20635128,0.21910667,-0.7110834,-0.44852495,-0.18256903,0.06341934,0.06341934,-0.12785196,-0.12785196,-0.12785196,-0.12785196,-0.12785196,-0.12785196,-0.40584803,-0.5286932,-0.2323389,-0.2323389,-0.006556511,0.12302399,0.07522106,0.12803078,0.13577938,0.037431717,0.61523914,0.5569458,0.7288456,0.9251833,0.9251833,0.9251833,0.96046925,0.6597042,0.877738,0.7138252,0.8062124,0.8019209,0.8018017,0.8018017,-0.0034570694,0.79858303,0.79858303,0.79262257,0.11074543,0.14960766,0.071287155,0.071287155,0.47767162,0.2552271,0.25320053,0.25081635,0.25081635,0.2669096,0.24318695,0.24318695,0.20182133
1850-05-01 00:00:00,0.13315678,0.13315678,0.13315678,0.13315678,0.30875206,0.30994415,0.2937317,0.10180473,0.09405613,0.33318996,0.3452301,0.10585785,0.39291382,0.10704994,0.10704994,0.10704994,0.23663044,0.30744076,0.12719631,0.12719631,0.12719631,0.13029575,0.15974045,-0.013530254,-0.013530254,-0.34230947,-0.29814243,0.18453598,0.18453598,0.21648407,-0.6750822,-0.5066395,-0.20080805,0.07236004,0.07236004,-0.14817715,-0.14817715,-0.14817715,-0.14817715,-0.14817715,-0.14817715,-0.4081726,-0.48929453,-0.25093555,-0.25093555,0.020623207,0.1449585,0.07355213,0.09536743,0.10418892,0.0962019,0.62310696,0.5543232,0.69487095,0.928998,0.928998,0.928998,0.9666681,0.6175041,0.84733963,0.6853342,0.8239746,0.8248091,0.82433224,0.82433224,0.052809715,0.831604,0.831604,0.82468987,0.10621548,0.14138222,0.10383129,0.10383129,0.4581213,0.26214123,0.26118755,0.25892258,0.25892258,0.2989769,0.25761127,0.25761127,0.14579296
1850-06-01 00:00:00,0.14340878,0.14340878,0.14340878,0.14340878,0.3117323,0.31590462,0.30469894,0.11539459,0.09679794,0.33593178,0.35893917,0.12409687,0.39350986,0.08916855,0.08916855,0.08916855,0.24235249,0.2990961,0.09250641,0.09250641,0.09250641,0.14352798,0.1333952,0.0022649765,0.0022649765,-0.42200089,-0.3321767,0.14269352,0.14269352,0.17869473,-0.5951524,-0.600338,-0.1861453,0.0705719,0.0705719,-0.13375282,-0.13375282,-0.13375282,-0.13375282,-0.13375282,-0.13375282,-0.42402744,-0.4876256,-0.12767315,-0.12767315,0.110030174,0.15878677,0.06818771,0.032544136,0.044941902,0.06222725,0.62298775,0.51760674,0.67174435,0.93722343,0.93722343,0.93722343,0.97227097,0.58305264,0.84114075,0.6393194,0.8457899,0.84865093,0.8497238,0.8497238,0.061392784,0.8635521,0.8635521,0.8569956,0.098109245,0.17106533,0.13184547,0.13184547,0.44369698,0.27382374,0.2720356,0.2746582,0.2746582,0.31721592,0.26750565,0.26750565,0.23078918
1850-07-01 00:00:00,0.19776821,0.19776821,0.19776821,0.19776821,0.320673,0.32556057,0.30183792,0.15997887,0.15890598,0.3323555,0.37407875,0.166893,0.37622452,0.1654625,0.1654625,0.1654625,0.26118755,0.29599667,0.0988245,0.0988245,0.0988245,0.09858608,0.093221664,-0.01168251,-0.01168251,-0.38433075,-0.30833483,0.106692314,0.106692314,0.15199184,-0.505805,-0.5198717,-0.13273954,0.06866455,0.06866455,-0.10251999,-0.10251999,-0.10251999,-0.10251999,-0.10251999,-0.10251999,-0.40769577,-0.45681,-0.2527833,-0.2527833,0.13411045,0.16832352,0.07605553,0.0051259995,-0.00011920929,0.04374981,0.63216686,0.4092455,0.6663799,0.9224415,0.9224415,0.9224415,0.9697676,0.57041645,0.83458424,0.59998035,0.8596182,0.8801222,0.88214874,0.88214874,-0.019013882,0.87583065,0.87583065,0.87964535,0.18334389,0.2117157,0.13303757,0.13303757,0.43725967,0.28419495,0.284791,0.27883053,0.27883053,0.34928322,0.2528429,0.2528429,0.27263165
1850-08-01 00:00:00,0.22447109,0.22447109,0.22447109,0.22447109,0.3004074,0.30386448,0.28383732,0.1989603,0.19860268,0.28145313,0.3875494,0.20325184,0.36025047,0.2361536,0.2361536,0.2361536,0.19681454,0.29313564,0.13136864,0.13136864,0.13136864,0.10108948,0.1399517,-0.04684925,-0.04684925,-0.26124716,-0.26351213,0.02169609,0.02169609,0.091433525,-0.4299879,-0.45067072,-0.08904934,0.083088875,0.083088875,-0.14030933,-0.14030933,-0.14030933,-0.14030933,-0.14030933,-0.14030933,-0.32520294,-0.3761649,-0.27674437,-0.27674437,0.08177757,0.16367435,0.06842613,0.039696693,0.02861023,0.10275841,0.6440878,0.2565384,0.6363392,0.92577934,0.92577934,0.92577934,0.9803772,0.5322695,0.79500675,0.57184696,0.85937977,0.88870525,0.88596344,0.88596344,-0.08267164,0.87726116,0.87726116,0.89144707,0.18954277,0.21088123,0.10430813,0.10430813,0.46813488,0.2901554,0.28908253,0.27549267,0.27549267,0.36776066,0.23782253,0.23782253,0.28777122
1850-09-01 00:00:00,0.2477169,0.2477169,0.2477169,0.2477169,0.26762486,0.26142597,0.25629997,0.20694733,0.20492077,0.21219254,0.39565563,0.21088123,0.35119057,0.25701523,0.25701523,0.25701523,0.07772446,0.30124187,0.1938343,0.1938343,0.1938343,0.047683716,0.19955635,-0.10621548,-0.10621548,-0.14579296,-0.23812056,-0.106692314,-0.106692314,-0.06908178,-0.40358305,-0.38546324,-0.052928925,0.103235245,0.103235245,-0.2605915,-0.2605915,-0.2605915,-0.2605915,-0.2605915,-0.2605915,-0.14448166,-0.2645254,-0.22357702,-0.22357702,-0.009715557,0.11217594,0.04172325,0.06711483,0.06437302,0.17631054,0.6673336,0.21064281,0.58436394,0.9188652,0.9188652,0.9188652,0.98121166,0.46014786,0.7376671,0.51927567,0.86581707,0.8838177,0.87833405,0.87833405,-0.09727478,0.86319447,0.86319447,0.88608265,0.16927719,0.1847744,0.08106232,0.08106232,0.48351288,0.297904,0.29742718,0.284791,0.284791,0.3900528,0.233531,0.233531,0.30851364
1850-10-01 00:00:00,0.26750565,0.26750565,0.26750565,0.26750565,0.31244755,0.31924248,0.2785921,0.2309084,0.22792816,0.25355816,0.39553642,0.23055077,0.3515482,0.24092197,0.24092197,0.24092197,0.08010864,0.308156,0.17106533,0.17106533,0.17106533,-0.0036358833,0.15366077,-0.16146898,-0.16146898,-0.15932322,-0.2143383,-0.15103817,-0.15103817,-0.15854836,-0.37771463,-0.35524368,-0.026226044,0.11944771,0.11944771,-0.31125546,-0.31125546,-0.31125546,-0.31125546,-0.31125546,-0.31125546,-0.05441904,-0.1861453,-0.22983551,-0.22983551,-0.085771084,0.0009536743,0.039577484,0.10359287,0.099897385,0.18644333,0.68342686,0.3837347,0.5633831,0.88989735,0.88989735,0.88989735,0.95534325,0.4761219,0.70118904,0.5003214,0.84400177,0.8636713,0.8575916,0.8575916,-0.13464689,0.83088875,0.83088875,0.86319447,0.17929077,0.16570091,0.06330013,0.06330013,0.49948692,0.28419495,0.28324127,0.2913475,0.2913475,0.4066229,0.24926662,0.24926662,0.32055378
1850-11-01 00:00:00,0.29933453,0.29933453,0.29933453,0.29933453,0.33187866,0.33187866,0.31507015,0.23424625,0.22947788,0.346303,0.3837347,0.23329258,0.3517866,0.21183491,0.21183491,0.21183491,-0.008404255,0.3143549,0.10538101,0.10538101,0.10538101,0.013828278,0.052452087,-0.14168024,-0.14168024,-0.21642447,-0.1873374,-0.096440315,-0.096440315,-0.08177757,-0.40274858,-0.3489256,-0.001847744,0.13172626,0.13172626,-0.3054142,-0.3054142,-0.3054142,-0.3054142,-0.3054142,-0.3054142,-0.037252903,-0.17905235,-0.20676851,-0.20676851,-0.15372038,-0.01603365,0.04374981,0.14472008,0.13673306,0.079751015,0.67162514,0.50103664,0.59974194,0.8789301,0.8789301,0.8789301,0.9293556,0.5300045,0.6927252,0.536561,0.80931187,0.82552433,0.8146763,0.8146763,-0.1835823,0.7870197,0.7870197,0.8251667,0.18262863,0.18393993,0.0487566,0.0487566,0.49352646,0.27120113,0.27108192,0.28645992,0.28645992,0.4168749,0.24080276,0.24080276,0.33068657
