time,SALT_mean,TS_mean
1850-02-01 00:00:00,35.984707,298.61475
1850-03-01 00:00:00,36.079617,298.4518
1850-04-01 00:00:00,36.12445,298.5903
1850-05-01 00:00:00,36.140685999999995,299.0548
1850-06-01 00:00:00,36.136124,299.35416000000004
1850-07-01 00:00:00,36.10635,299.73892
1850-08-01 00:00:00,36.037754,300.1625
1850-09-01 00:00:00,35.90829,300.62628
1850-10-01 00:00:00,35.751728,300.82535
1850-11-01 00:00:00,35.657536,300.594
1850-12-01 00:00:00,35.687695,300.3592
1851-01-01 00:00:00,35.936040000000006,299.48956
1851-02-01 00:00:00,36.13811,298.75203999999997
1851-03-01 00:00:00,36.209872999999995,298.38858
1851-04-01 00:00:00,36.206665,298.43335
1851-05-01 00:00:00,36.160995,298.95685
1851-06-01 00:00:00,36.157055,299.51108
1851-07-01 00:00:00,36.154293,299.7477
1851-08-01 00:00:00,36.043026,300.11435
1851-09-01 00:00:00,35.896159999999995,300.6387
1851-10-01 00:00:00,35.775143,300.73355
1851-11-01 00:00:00,35.679752,300.56824
1851-12-01 00:00:00,35.78079,299.94717
1852-01-01 00:00:00,36.00432,298.94897000000003
1852-02-01 00:00:00,36.144135,298.40353
1852-03-01 00:00:00,36.215046,298.4033
1852-04-01 00:00:00,36.281240000000004,298.57297
1852-05-01 00:00:00,36.283268,299.05118
1852-06-01 00:00:00,36.25677,299.40256
1852-07-01 00:00:00,36.191146999999994,299.85843
1852-08-01 00:00:00,36.06215,300.2324
1852-09-01 00:00:00,35.865326,300.58865
1852-10-01 00:00:00,35.59256,300.65103
1852-11-01 00:00:00,35.45027,300.52725
1852-12-01 00:00:00,35.592209999999994,300.1752
1853-01-01 00:00:00,35.834484,299.4441
1853-02-01 00:00:00,36.06685,298.63223
1853-03-01 00:00:00,36.169514,298.3854
1853-04-01 00:00:00,36.20194,298.71133
1853-05-01 00:00:00,36.208965,299.22
1853-06-01 00:00:00,36.217743,299.6813
1853-07-01 00:00:00,36.15702,300.05893
1853-08-01 00:00:00,36.049,300.22128
1853-09-01 00:00:00,35.823547,300.64404
1853-10-01 00:00:00,35.594359999999995,300.70422
1853-11-01 00:00:00,35.43143,300.52655
1853-12-01 00:00:00,35.488464,300.05228
1854-01-01 00:00:00,35.725662,299.02527000000003
1854-02-01 00:00:00,35.932934,298.20004
1854-03-01 00:00:00,36.0705,297.78792999999996
1854-04-01 00:00:00,36.12976,297.942
1854-05-01 00:00:00,36.133076,298.46487
1854-06-01 00:00:00,36.133076,298.8705
1854-07-01 00:00:00,36.086613,299.44372999999996
1854-08-01 00:00:00,36.006283,299.82202
1854-09-01 00:00:00,35.861042,300.3447
1854-10-01 00:00:00,35.716159999999995,300.5359
1854-11-01 00:00:00,35.68458,300.51624
1854-12-01 00:00:00,35.76712,300.00928
1855-01-01 00:00:00,35.9477,299.14734
1855-02-01 00:00:00,36.117683,298.3514
1855-03-01 00:00:00,36.20863,297.99335
1855-04-01 00:00:00,36.231784999999995,298.14963
1855-05-01 00:00:00,36.223595,298.43466
1855-06-01 00:00:00,36.172615,299.25647000000004
1855-07-01 00:00:00,36.124736999999996,299.50232
1855-08-01 00:00:00,36.013897,299.92725
1855-09-01 00:00:00,35.822163,300.41152999999997
1855-10-01 00:00:00,35.649227,300.72362999999996
1855-11-01 00:00:00,35.598865999999994,300.40475
1855-12-01 00:00:00,35.66458,299.93253
1856-01-01 00:00:00,35.84702,299.1164
1856-02-01 00:00:00,36.065334,298.36523
1856-03-01 00:00:00,36.158153999999996,298.04758
1856-04-01 00:00:00,36.181744,298.06345
1856-05-01 00:00:00,36.150005,298.70346
1856-06-01 00:00:00,36.135483,299.28873
1856-07-01 00:00:00,36.132571999999996,299.54117
1856-08-01 00:00:00,36.028927,299.94162
1856-09-01 00:00:00,35.816998,300.43352999999996
1856-10-01 00:00:00,35.642520000000005,300.48734
1856-11-01 00:00:00,35.554809999999996,300.33234
1856-12-01 00:00:00,35.649807,299.82175
1857-01-01 00:00:00,35.90125,298.84238
1857-02-01 00:00:00,36.090503999999996,298.0078
1857-03-01 00:00:00,36.178096999999994,297.684
1857-04-01 00:00:00,36.198634999999996,297.87146
1857-05-01 00:00:00,36.18544,298.387
1857-06-01 00:00:00,36.18716,298.9256
1857-07-01 00:00:00,36.1086,299.28525
1857-08-01 00:00:00,35.921172999999996,299.75055
1857-09-01 00:00:00,35.731895,300.2551
1857-10-01 00:00:00,35.602795,300.4495
1857-11-01 00:00:00,35.567333000000005,300.28683
1857-12-01 00:00:00,35.641586,299.64583999999996
1858-01-01 00:00:00,35.861214000000004,298.57693
1858-02-01 00:00:00,36.028828000000004,297.87613
1858-03-01 00:00:00,36.114563000000004,297.54965
1858-04-01 00:00:00,36.124386,297.67227
1858-05-01 00:00:00,36.084435,298.36453
1858-06-01 00:00:00,36.089766999999995,298.97583
1858-07-01 00:00:00,36.073788,299.20255
1858-08-01 00:00:00,35.905285,299.71924
1858-09-01 00:00:00,35.72755,300.2475
1858-10-01 00:00:00,35.625713,300.423
1858-11-01 00:00:00,35.59341,300.2495
1858-12-01 00:00:00,35.69347,299.7665
1859-01-01 00:00:00,35.87872,298.97025
1859-02-01 00:00:00,36.04038,298.30136
1859-03-01 00:00:00,36.142483,297.99615
1859-04-01 00:00:00,36.164776,298.30283
1859-05-01 00:00:00,36.171192,298.74422999999996
1859-06-01 00:00:00,36.162495,299.27187999999995
1859-07-01 00:00:00,36.093303999999996,299.79782
1859-08-01 00:00:00,35.944454,300.16623
1859-09-01 00:00:00,35.721990000000005,300.553
