time,SALT_mean,TS_mean
1850-02-01 00:00:00,34.13646,301.6077
1850-03-01 00:00:00,34.279232,301.20535
1850-04-01 00:00:00,34.327183000000005,301.43015
1850-05-01 00:00:00,34.361195,301.6582
1850-06-01 00:00:00,34.33064,301.69467000000003
1850-07-01 00:00:00,34.30742,301.90515
1850-08-01 00:00:00,34.288914,301.94006
1850-09-01 00:00:00,34.355793,302.09713999999997
1850-10-01 00:00:00,34.40347,302.0491
1850-11-01 00:00:00,34.346455,301.97302
1850-12-01 00:00:00,34.243297999999996,301.92136
1851-01-01 00:00:00,34.24843,301.50928
1851-02-01 00:00:00,34.286986999999996,301.03775
1851-03-01 00:00:00,34.33556,300.76514
1851-04-01 00:00:00,34.379673,301.05502
1851-05-01 00:00:00,34.361216999999996,301.37753
1851-06-01 00:00:00,34.267734999999995,301.42166000000003
1851-07-01 00:00:00,34.250607,301.43762000000004
1851-08-01 00:00:00,34.282092999999996,301.6884
1851-09-01 00:00:00,34.365738,301.63077000000004
1851-10-01 00:00:00,34.39051,301.70673
1851-11-01 00:00:00,34.338306,301.78238
1851-12-01 00:00:00,34.254276000000004,301.7653
1852-01-01 00:00:00,34.226620000000004,301.65518
1852-02-01 00:00:00,34.24817,301.28873
1852-03-01 00:00:00,34.309376,301.01257000000004
1852-04-01 00:00:00,34.351345,300.89187999999996
1852-05-01 00:00:00,34.353977,300.92685
1852-06-01 00:00:00,34.304153,301.2079
1852-07-01 00:00:00,34.268536,301.26813
1852-08-01 00:00:00,34.256209999999996,301.52963
1852-09-01 00:00:00,34.23361,301.94116
1852-10-01 00:00:00,34.27316,301.95162999999997
1852-11-01 00:00:00,34.175533,302.0953
1852-12-01 00:00:00,34.06767,302.0704
1853-01-01 00:00:00,33.920105,301.81458
1853-02-01 00:00:00,33.946636,301.14816
1853-03-01 00:00:00,34.05299,300.88135
1853-04-01 00:00:00,34.210229999999996,300.72803
1853-05-01 00:00:00,34.320159999999994,300.6234
1853-06-01 00:00:00,34.307877000000005,300.926
1853-07-01 00:00:00,34.24275,301.38403
1853-08-01 00:00:00,34.252666,301.6389
1853-09-01 00:00:00,34.368313,301.52225
1853-10-01 00:00:00,34.425304,301.16873
1853-11-01 00:00:00,34.380497,301.1855
1853-12-01 00:00:00,34.314713,301.15167
1854-01-01 00:00:00,34.289597,300.84326
1854-02-01 00:00:00,34.309128,300.3793
1854-03-01 00:00:00,34.30905,300.16967999999997
1854-04-01 00:00:00,34.311443,300.24786
1854-05-01 00:00:00,34.313984000000005,300.52078
1854-06-01 00:00:00,34.300808,300.76865
1854-07-01 00:00:00,34.24886,300.98233
1854-08-01 00:00:00,34.223682000000004,301.19552999999996
1854-09-01 00:00:00,34.24779,301.31625
1854-10-01 00:00:00,34.332423999999996,301.12894
1854-11-01 00:00:00,34.297333,301.08437999999995
1854-12-01 00:00:00,34.207592,301.12277
1855-01-01 00:00:00,34.186756,300.93127000000004
1855-02-01 00:00:00,34.175259999999994,300.6235
1855-03-01 00:00:00,34.21329,300.53403
1855-04-01 00:00:00,34.255997,300.6477
1855-05-01 00:00:00,34.314296999999996,300.75777999999997
1855-06-01 00:00:00,34.294575,300.928
1855-07-01 00:00:00,34.270214,301.11862
1855-08-01 00:00:00,34.21569,301.356
1855-09-01 00:00:00,34.214573,301.58713
1855-10-01 00:00:00,34.269176,301.5891
1855-11-01 00:00:00,34.270725,301.69333
1855-12-01 00:00:00,34.212444,301.6312
1856-01-01 00:00:00,34.090057,301.15076
1856-02-01 00:00:00,34.071587,300.4719
1856-03-01 00:00:00,34.162197,300.17386
1856-04-01 00:00:00,34.20795,300.38345
1856-05-01 00:00:00,34.21314,300.56335
1856-06-01 00:00:00,34.22191,300.87462999999997
1856-07-01 00:00:00,34.166164,301.08456
1856-08-01 00:00:00,34.201397,301.2981
1856-09-01 00:00:00,34.308871999999994,301.2675
1856-10-01 00:00:00,34.371063,300.952
1856-11-01 00:00:00,34.370709999999995,300.6938
1856-12-01 00:00:00,34.321682,300.68665
1857-01-01 00:00:00,34.291309999999996,300.35852
1857-02-01 00:00:00,34.294292,299.95523
1857-03-01 00:00:00,34.273179999999996,299.94614
1857-04-01 00:00:00,34.286167,300.07794
1857-05-01 00:00:00,34.304759999999995,300.4294
1857-06-01 00:00:00,34.300022,300.6196
1857-07-01 00:00:00,34.26727,300.71884
1857-08-01 00:00:00,34.22417,301.03494
1857-09-01 00:00:00,34.20149,301.20157
1857-10-01 00:00:00,34.24481,301.2178
1857-11-01 00:00:00,34.266785,301.25955
1857-12-01 00:00:00,34.25881,301.13678
1858-01-01 00:00:00,34.196503,300.88095
1858-02-01 00:00:00,34.257121999999995,300.5552
1858-03-01 00:00:00,34.325478000000004,300.34542999999996
1858-04-01 00:00:00,34.368977,300.35427999999996
1858-05-01 00:00:00,34.425686,300.55185
1858-06-01 00:00:00,34.433857,300.78836
1858-07-01 00:00:00,34.382084000000006,300.9993
1858-08-01 00:00:00,34.343964,301.1044
1858-09-01 00:00:00,34.336967,301.26052999999996
1858-10-01 00:00:00,34.365448,301.40445
1858-11-01 00:00:00,34.371296,301.5613
1858-12-01 00:00:00,34.305217999999996,301.59963999999997
1859-01-01 00:00:00,34.188858,301.3654
1859-02-01 00:00:00,34.242385999999996,300.89185
1859-03-01 00:00:00,34.34564,300.65707000000003
1859-04-01 00:00:00,34.38785,300.63605
1859-05-01 00:00:00,34.388584,300.77737
1859-06-01 00:00:00,34.373425,300.90015
1859-07-01 00:00:00,34.317127,300.91806
1859-08-01 00:00:00,34.29402,301.28873
