TIME,SST,SSS,time
1859-02-27 00:00:00,293.07358,32.900375,1859.083333
1859-03-30 00:00:00,292.61264,32.885563,1859.166667
1859-04-29 00:00:00,292.87384,33.07006,1859.25
1859-05-30 00:00:00,293.97037,33.21184,1859.333333
1859-06-29 00:00:00,295.73572,33.4825,1859.416667
1859-07-30 00:00:00,297.90027,33.634167,1859.5
1859-08-30 00:00:00,299.4177,33.701046,1859.583333
1859-09-29 00:00:00,299.84296,33.742718,1859.666667
1859-10-30 00:00:00,298.54068,33.74671,1859.75
1859-11-29 00:00:00,296.2341,33.658615,1859.833333
1859-12-30 00:00:00,294.4532,33.361702,1859.916667
1860-01-30 00:00:00,293.51013,33.22097,1860
1860-02-27 00:00:00,293.00565,32.920616,1860.083333
1860-03-29 00:00:00,292.8405,33.004612,1860.166667
1860-04-28 00:00:00,293.06732,33.075645,1860.25
1860-05-29 00:00:00,293.8106,33.203163,1860.333333
1860-06-28 00:00:00,296.03314,33.40662,1860.416667
1860-07-29 00:00:00,298.7166,33.58951,1860.5
1860-08-29 00:00:00,299.89062,33.66973,1860.583333
1860-09-28 00:00:00,299.96033,33.73283,1860.666667
1860-10-29 00:00:00,298.5172,33.708027,1860.75
1860-11-28 00:00:00,296.34967,33.596848,1860.833333
1860-12-29 00:00:00,295.16998,33.433575,1860.916667
1861-01-29 00:00:00,294.39362,33.231358,1861
1861-02-26 00:00:00,293.46472,33.183098,1861.083333
1861-03-29 00:00:00,293.27713,33.196007,1861.166667
1861-04-28 00:00:00,293.15558,33.23176,1861.25
1861-05-29 00:00:00,294.5422,33.356834,1861.333333
1861-06-28 00:00:00,296.99725,33.445,1861.416667
1861-07-29 00:00:00,298.97064,33.55786,1861.5
1861-08-29 00:00:00,299.9731,33.626385,1861.583333
1861-09-28 00:00:00,299.87445,33.715794,1861.666667
1861-10-29 00:00:00,299.0149,33.72522,1861.75
1861-11-28 00:00:00,297.15472,33.650116,1861.833333
1861-12-29 00:00:00,294.62402,33.48489,1861.916667
1862-01-29 00:00:00,293.67828,33.298767,1862
1862-02-26 00:00:00,293.20663,33.191757,1862.083333
1862-03-29 00:00:00,293.098,33.200287,1862.166667
1862-04-28 00:00:00,293.29324,33.214497,1862.25
1862-05-29 00:00:00,294.27942,33.289017,1862.333333
1862-06-28 00:00:00,296.12387,33.452057,1862.416667
1862-07-29 00:00:00,298.19675,33.635056,1862.5
1862-08-29 00:00:00,299.70932,33.70125,1862.583333
1862-09-28 00:00:00,299.76407,33.750507,1862.666667
1862-10-29 00:00:00,297.97818,33.750416,1862.75
1862-11-28 00:00:00,296.1454,33.588104,1862.833333
1862-12-29 00:00:00,294.43738,33.043297,1862.916667
1863-01-29 00:00:00,293.14655,32.616238,1863
1863-02-26 00:00:00,292.41748,32.656563,1863.083333
1863-03-29 00:00:00,292.47815,32.94351,1863.166667
1863-04-28 00:00:00,292.67987,33.17546,1863.25
1863-05-29 00:00:00,293.89185,33.288445,1863.333333
1863-06-28 00:00:00,296.60016,33.44017,1863.416667
