"x","y"
1850.5,23.0525010426839
1851.5,22.9322512944539
1852.5,23.0403343836466
1853.5,23.3678345680237
1854.5,23.3170008659363
1855.5,23.0865847269694
1856.5,22.8617510795593
1857.5,23.2160844802856
1858.5,23.0812511444092
1859.5,23.1351675987244
1860.5,23.1928343772888
1861.5,23.098251024882
1862.5,22.9138344128927
1863.5,23.1947507858276
1864.5,23.0413344701131
1865.5,23.0322508811951
1866.5,23.0559177398682
1867.5,22.8329178492228
1868.5,23.0456678072612
1869.5,22.971834341685
1870.5,23.0190844535828
1871.5,23.1583342552185
1872.5,23.1498344739278
1873.5,23.1623344421387
1874.5,23.1172510782878
1875.5,23.0914177894592
1876.5,23.2264177004496
1877.5,23.1179178555806
1878.5,22.8598343531291
1879.5,23.136751015981
1880.5,23.3240842819214
1881.5,23.0320841471354
1882.5,23.1305845578512
1883.5,23.320417881012
1884.5,23.300917784373
1885.5,23.3560010592143
1886.5,23.0349178314209
1887.5,22.9611676534017
1888.5,22.8410844802856
1889.5,23.0760844548543
1890.5,23.1585845947266
1891.5,23.0058344205221
1892.5,22.6058344841003
1893.5,22.7998344103495
1894.5,23.2260847091675
1895.5,23.2391676902771
1896.5,23.1154176394145
1897.5,23.077167669932
1898.5,23.113668123881
1899.5,22.8786675135295
1900.5,23.1255844434102
1901.5,22.9754177729289
1902.5,22.5423343976339
1903.5,22.6385842959086
1904.5,22.9975845019023
1905.5,22.9025009473165
1906.5,22.9216675758362
1907.5,22.6561679840088
1908.5,22.9296677907308
1909.5,22.4963345527649
1910.5,22.5222511291504
1911.5,22.8170847892761
1912.5,23.0495012601217
1913.5,23.0369175275167
1914.5,23.1134174664815
1915.5,22.7352514266968
1916.5,22.7447511355082
1917.5,22.8627511660258
1918.5,22.936001141866
1919.5,22.9745844205221
1920.5,23.1840012868245
1921.5,23.2890009880066
1922.5,23.1407512029012
1923.5,23.2349181175232
1924.5,23.1622511545817
1925.5,23.2588345209757
1926.5,23.0966682434082
1927.5,23.4525012969971
1928.5,23.6729176839193
1929.5,23.9588346481323
1930.5,23.6409177780151
1931.5,23.3330844243368
1932.5,23.3445011774699
1933.5,23.6258344650269
1934.5,23.7800844510396
1935.5,23.561084429423
1936.5,23.7251677513123
1937.5,23.6666679382324
1938.5,23.4801678657532
1939.5,23.556250890096
1940.5,22.8408342997233
1941.5,22.9741678237915
1942.5,23.2480843861898
1943.5,23.4495011965434
1944.5,23.265084584554
1945.5,23.455918153127
1946.5,23.5677512486776
1947.5,23.5454176266988
1948.5,23.5227511723836
1949.5,23.9050014813741
1950.5,23.7195011774699
1951.5,23.6356676419576
1952.5,23.4989178975423
1953.5,23.5796677271525
1954.5,23.7033346494039
1955.5,23.2546679178874
1956.5,23.4080012639364
1957.5,23.5388344128927
1958.5,23.6408343315125
1959.5,23.7534178098043
1960.5,23.7133344014486
1961.5,23.8263344764709
1962.5,23.6300843556722
1963.5,23.2640008926392
1964.5,23.2684179941813
1965.5,23.3923347791036
1966.5,23.3708343505859
1967.5,23.2421677907308
1968.5,23.1619176864624
1969.5,22.9050011634827
1970.5,22.8076678911845
1971.5,23.1083347002665
1972.5,23.3387511571248
1973.5,23.159167766571
1974.5,23.4707511266073
1975.5,23.373334089915
1976.5,23.2694176038106
1977.5,23.2560844421387
1978.5,23.1696677207947
1979.5,23.2720845540365
