Unnamed: 0,SALT,TS
1850-02-01 00:00:00,33.952003,294.3115
1850-03-01 00:00:00,33.92934,293.7905
1850-04-01 00:00:00,33.938,294.0781
1850-05-01 00:00:00,33.90071,294.09488
1850-06-01 00:00:00,33.89206,294.90173
1850-07-01 00:00:00,33.896496,296.9953
1850-08-01 00:00:00,33.903618,299.1514
1850-09-01 00:00:00,33.937084,300.21555
1850-10-01 00:00:00,33.956314,300.32007
1850-11-01 00:00:00,33.96097,298.50278
1850-12-01 00:00:00,33.964996,296.67126
1851-01-01 00:00:00,33.951656,295.20953
1851-02-01 00:00:00,33.935238,293.95663
1851-03-01 00:00:00,33.92452,293.29935
1851-04-01 00:00:00,33.918686,293.40732
1851-05-01 00:00:00,33.89443,293.3607
1851-06-01 00:00:00,33.88106,294.54343
1851-07-01 00:00:00,33.888382,296.18048
1851-08-01 00:00:00,33.88698,298.68326
1851-09-01 00:00:00,33.899895,300.08423
1851-10-01 00:00:00,33.92152,300.09625
1851-11-01 00:00:00,33.93774,298.7998
1851-12-01 00:00:00,33.93354,297.35736
1852-01-01 00:00:00,33.910587,295.6178
1852-02-01 00:00:00,33.873604,294.32318
1852-03-01 00:00:00,33.85627,293.79272
1852-04-01 00:00:00,33.844208,293.36142
1852-05-01 00:00:00,33.838337,293.56635
1852-06-01 00:00:00,33.830482,294.74243
1852-07-01 00:00:00,33.84277,297.14615
1852-08-01 00:00:00,33.857033,298.66183
1852-09-01 00:00:00,33.886375,300.17273
1852-10-01 00:00:00,33.902836,300.07745
1852-11-01 00:00:00,33.925495,299.0016
1852-12-01 00:00:00,33.931477,296.4703
1853-01-01 00:00:00,33.923992,294.70023
1853-02-01 00:00:00,33.91306,293.65393
1853-03-01 00:00:00,33.904095,293.07397
1853-04-01 00:00:00,33.892963,292.99905
1853-05-01 00:00:00,33.894524,293.31204
1853-06-01 00:00:00,33.88952,295.019
1853-07-01 00:00:00,33.88156,296.8596
1853-08-01 00:00:00,33.89013,298.89334
1853-09-01 00:00:00,33.925137,300.22485
1853-10-01 00:00:00,33.965508,300.1556
1853-11-01 00:00:00,33.981335,298.931
1853-12-01 00:00:00,33.99963,296.91895
1854-01-01 00:00:00,34.01174,294.6838
1854-02-01 00:00:00,34.011925,294.01474
1854-03-01 00:00:00,33.97652,293.46188
1854-04-01 00:00:00,33.96169,293.10764
1854-05-01 00:00:00,33.93856,293.3696
1854-06-01 00:00:00,33.935432,294.67004
1854-07-01 00:00:00,33.926243,296.765
1854-08-01 00:00:00,33.929646,298.68335
1854-09-01 00:00:00,33.95324,299.90137
1854-10-01 00:00:00,33.97388,300.1469
1854-11-01 00:00:00,33.989857,299.07446
1854-12-01 00:00:00,33.99892,296.88925
1855-01-01 00:00:00,33.991158,295.30646
1855-02-01 00:00:00,33.961452,294.50424
1855-03-01 00:00:00,33.927795,293.88605
1855-04-01 00:00:00,33.901318,293.65283
1855-05-01 00:00:00,33.88125,294.14548
1855-06-01 00:00:00,33.878807,294.85983
1855-07-01 00:00:00,33.873196,296.88327
1855-08-01 00:00:00,33.866898,298.86267
1855-09-01 00:00:00,33.903347,299.49207
1855-10-01 00:00:00,33.935246,300.01883
1855-11-01 00:00:00,33.94648,298.79553
1855-12-01 00:00:00,33.951946,297.47137
1856-01-01 00:00:00,33.93997,295.2438
1856-02-01 00:00:00,33.92333,294.0608
1856-03-01 00:00:00,33.87882,293.39227
1856-04-01 00:00:00,33.87316,293.3085
1856-05-01 00:00:00,33.850166,294.04724
1856-06-01 00:00:00,33.868206,294.83667
1856-07-01 00:00:00,33.881676,297.17892
1856-08-01 00:00:00,33.90183,298.92783
1856-09-01 00:00:00,33.94835,299.65646
1856-10-01 00:00:00,33.977898,299.9065
1856-11-01 00:00:00,33.992126,298.30405
1856-12-01 00:00:00,33.99183,296.64563
1857-01-01 00:00:00,33.974205,294.88724
1857-02-01 00:00:00,33.92908,293.98022
1857-03-01 00:00:00,33.908566,293.54166
1857-04-01 00:00:00,33.88769,293.33414
1857-05-01 00:00:00,33.865692,293.4348
1857-06-01 00:00:00,33.860626,294.15103
1857-07-01 00:00:00,33.866894,296.83453
1857-08-01 00:00:00,33.872,298.89365
1857-09-01 00:00:00,33.896164,300.21393
1857-10-01 00:00:00,33.91655,300.15488
1857-11-01 00:00:00,33.935448,298.55984
1857-12-01 00:00:00,33.94771,296.94464
1858-01-01 00:00:00,33.94074,294.6127
1858-02-01 00:00:00,33.918343,293.19455
1858-03-01 00:00:00,33.910732,292.49493
1858-04-01 00:00:00,33.898514,292.81656
1858-05-01 00:00:00,33.88175,293.1162
1858-06-01 00:00:00,33.853268,294.50488
1858-07-01 00:00:00,33.85222,296.58813
1858-08-01 00:00:00,33.86867,298.36646
1858-09-01 00:00:00,33.90253,299.81085
1858-10-01 00:00:00,33.93037,300.16962
1858-11-01 00:00:00,33.93828,298.70706
1858-12-01 00:00:00,33.946262,296.6498
1859-01-01 00:00:00,33.94731,295.42383
1859-02-01 00:00:00,33.934765,294.1439
1859-03-01 00:00:00,33.915077,293.42526
1859-04-01 00:00:00,33.901974,293.4575
1859-05-01 00:00:00,33.871696,293.95767
1859-06-01 00:00:00,33.86571,294.75394
1859-07-01 00:00:00,33.865993,296.89505
1859-08-01 00:00:00,33.88635,299.02893
1859-09-01 00:00:00,33.90054,299.97046
1859-10-01 00:00:00,33.905632,299.9505
1859-11-01 00:00:00,33.909904,298.7572
1859-12-01 00:00:00,33.919655,297.1431
1860-01-01 00:00:00,33.907143,295.2097
1860-02-01 00:00:00,33.879612,294.18564
