Unnamed: 0,SALT,TS
1850-02-01 00:00:00,33.822674,297.86676
1850-03-01 00:00:00,33.78793,297.55704
1850-04-01 00:00:00,33.74576,297.7809
1850-05-01 00:00:00,33.717987,298.32
1850-06-01 00:00:00,33.738403,298.56757
1850-07-01 00:00:00,33.771366,299.16373
1850-08-01 00:00:00,33.808918,299.66464
1850-09-01 00:00:00,33.836437,300.23337
1850-10-01 00:00:00,33.855686,300.2229
1850-11-01 00:00:00,33.868496,300.284
1850-12-01 00:00:00,33.881638,299.60983
1851-01-01 00:00:00,33.86388,298.65195
1851-02-01 00:00:00,33.833183,297.94922
1851-03-01 00:00:00,33.816597,297.42273
1851-04-01 00:00:00,33.78229,297.5008
1851-05-01 00:00:00,33.773952,298.12573
1851-06-01 00:00:00,33.780064,298.62204
1851-07-01 00:00:00,33.81773,299.16553
1851-08-01 00:00:00,33.864304,299.46588
1851-09-01 00:00:00,33.884304,299.93826
1851-10-01 00:00:00,33.900455,300.19894
1851-11-01 00:00:00,33.912468,299.78543
1851-12-01 00:00:00,33.916294,299.28214
1852-01-01 00:00:00,33.898643,298.42575
1852-02-01 00:00:00,33.876293,297.8077
1852-03-01 00:00:00,33.850895,297.76505
1852-04-01 00:00:00,33.806805,298.00992
1852-05-01 00:00:00,33.801125,298.607
1852-06-01 00:00:00,33.81586,299.25024
1852-07-01 00:00:00,33.839706,299.72296
1852-08-01 00:00:00,33.86059,300.09055
1852-09-01 00:00:00,33.88352,300.54187
1852-10-01 00:00:00,33.903362,300.46283
1852-11-01 00:00:00,33.91834,300.2301
1852-12-01 00:00:00,33.923737,299.63284
1853-01-01 00:00:00,33.938686,298.95248
1853-02-01 00:00:00,33.91061,298.13995
1853-03-01 00:00:00,33.88215,298.1517
1853-04-01 00:00:00,33.860043,298.1787
1853-05-01 00:00:00,33.829857,298.62216
1853-06-01 00:00:00,33.825607,299.08664
1853-07-01 00:00:00,33.84278,299.62036
1853-08-01 00:00:00,33.89178,299.91217
1853-09-01 00:00:00,33.905968,300.38745
1853-10-01 00:00:00,33.920223,300.478
1853-11-01 00:00:00,33.93651,300.20428
1853-12-01 00:00:00,33.95443,299.78745
1854-01-01 00:00:00,33.95145,299.07535
1854-02-01 00:00:00,33.89963,298.412
1854-03-01 00:00:00,33.820335,297.87167
1854-04-01 00:00:00,33.802795,298.3189
1854-05-01 00:00:00,33.795536,299.11243
1854-06-01 00:00:00,33.813576,299.4149
1854-07-01 00:00:00,33.825176,299.7129
1854-08-01 00:00:00,33.850567,299.9304
1854-09-01 00:00:00,33.874153,300.2433
1854-10-01 00:00:00,33.88352,300.28702
1854-11-01 00:00:00,33.880463,300.23248
1854-12-01 00:00:00,33.87542,299.5312
1855-01-01 00:00:00,33.86321,298.67935
1855-02-01 00:00:00,33.825195,297.9647
1855-03-01 00:00:00,33.78671,297.74573
1855-04-01 00:00:00,33.747147,297.95258
1855-05-01 00:00:00,33.712364,298.4598
1855-06-01 00:00:00,33.70304,299.19852
1855-07-01 00:00:00,33.71777,299.31223
1855-08-01 00:00:00,33.75561,299.82635
1855-09-01 00:00:00,33.811104,300.32666
1855-10-01 00:00:00,33.831993,300.2909
1855-11-01 00:00:00,33.852726,299.72043
1855-12-01 00:00:00,33.870995,298.894
1856-01-01 00:00:00,33.86898,298.19568
1856-02-01 00:00:00,33.842716,297.38223
1856-03-01 00:00:00,33.807903,297.17163
1856-04-01 00:00:00,33.778843,297.47983
1856-05-01 00:00:00,33.775803,297.7764
1856-06-01 00:00:00,33.783,298.42477
1856-07-01 00:00:00,33.807373,298.96793
1856-08-01 00:00:00,33.839867,299.54755
1856-09-01 00:00:00,33.867207,300.13574
1856-10-01 00:00:00,33.877636,300.32635
1856-11-01 00:00:00,33.889866,300.11618
1856-12-01 00:00:00,33.89654,299.85916
1857-01-01 00:00:00,33.88706,298.8387
1857-02-01 00:00:00,33.851624,297.79193
1857-03-01 00:00:00,33.821686,297.58496
1857-04-01 00:00:00,33.804504,297.9717
1857-05-01 00:00:00,33.78075,298.4219
1857-06-01 00:00:00,33.780293,299.2704
1857-07-01 00:00:00,33.794697,299.52588
1857-08-01 00:00:00,33.827366,300.17792
1857-09-01 00:00:00,33.851723,300.44754
1857-10-01 00:00:00,33.869846,300.52515
1857-11-01 00:00:00,33.88556,300.37448
1857-12-01 00:00:00,33.90279,299.9024
1858-01-01 00:00:00,33.906963,298.9468
1858-02-01 00:00:00,33.868286,298.49695
1858-03-01 00:00:00,33.824562,298.4085
1858-04-01 00:00:00,33.798397,298.97025
1858-05-01 00:00:00,33.77599,299.3391
1858-06-01 00:00:00,33.781868,299.79648
1858-07-01 00:00:00,33.82001,300.3597
1858-08-01 00:00:00,33.846485,300.44916
1858-09-01 00:00:00,33.871536,300.79565
1858-10-01 00:00:00,33.897552,300.79935
1858-11-01 00:00:00,33.91805,300.91974
1858-12-01 00:00:00,33.9292,300.38083
1859-01-01 00:00:00,33.89667,299.34177
1859-02-01 00:00:00,33.865532,298.47195
1859-03-01 00:00:00,33.83575,298.07083
1859-04-01 00:00:00,33.81755,298.6651
1859-05-01 00:00:00,33.79019,299.44537
1859-06-01 00:00:00,33.795364,299.75635
1859-07-01 00:00:00,33.82123,300.00653
1859-08-01 00:00:00,33.858856,300.2795
1859-09-01 00:00:00,33.87106,300.52173
1859-10-01 00:00:00,33.881214,300.57645
1859-11-01 00:00:00,33.885433,300.36423
1859-12-01 00:00:00,33.892834,299.52448
1860-01-01 00:00:00,33.889423,298.8272
1860-02-01 00:00:00,33.851616,297.99365
