time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1850-02-01 0:00:00,294.40646,294.40646,294.40646,295.29642,280.54044,281.9169,296.6311,296.6311,296.6311,287.4859,287.4859,299.39767,288.55536,288.55536,288.55536,288.55536,288.55536,288.55536,290.47458,290.47458,298.35068,295.1721,298.40076,298.24722,298.24722,298.24722,295.1363,297.91415,297.91415,298.03152,298.87204,298.87204,298.21652,295.7082,295.7082,300.9088,300.9088,299.8286,299.8286,300.43448,297.82962,300.5727,297.82962,300.5727,300.5727,300.80768,298.61334,300.80768,298.61334,300.80768,300.86478,300.86478,300.86478,300.86478,300.6253,300.6253,300.6253,300.6253,300.6253,300.6253,300.6253,299.88248,299.88248,299.25955,299.25955,299.25955,299.25955,298.5404,298.5404,297.76376,297.02112,297.02112,297.02112,297.02112,297.02112,297.02112,301.10126,296.2833,299.9904,295.37305,298.38687,295.37305,295.37305,295.37305,295.2963,295.2963,295.2963,295.77716,295.77716
1850-03-01 0:00:00,293.85034,293.85034,293.85034,294.7541,282.34302,283.72858,296.22546,296.22546,296.22546,290.44888,290.44888,298.87195,290.8571,290.8571,290.8571,290.8571,290.8571,290.8571,292.15353,292.15353,298.0228,294.92276,297.9302,298.10077,298.10077,298.10077,296.25317,297.66574,297.66574,297.802,298.20306,298.20306,298.98972,297.6608,297.6608,300.5258,300.5258,299.71738,299.71738,300.8674,298.0278,301.01114,298.0278,301.01114,301.01114,301.30078,299.4546,301.30078,299.4546,301.30078,301.5766,301.5766,301.5766,301.5766,301.59344,301.59344,301.59344,301.59344,301.59344,301.59344,301.59344,300.79782,300.79782,300.1504,300.1504,300.1504,300.1504,299.57825,299.57825,298.88644,298.07462,298.07462,298.07462,298.07462,298.07462,298.07462,301.49112,297.33392,300.6613,296.40057,299.52786,296.40057,296.40057,296.40057,296.30692,296.30692,296.30692,296.3891,296.3891
1850-04-01 0:00:00,293.72324,293.72324,293.72324,294.6082,287.50604,289.14688,296.57797,296.57797,296.57797,296.40363,296.40363,298.9118,297.17545,297.17545,297.17545,297.17545,297.17545,297.17545,298.45074,298.45074,298.40295,295.40405,297.90594,298.34164,298.34164,298.34164,300.97256,297.6961,297.6961,298.14783,298.33347,298.33347,298.99182,298.16272,298.16272,300.7707,300.7707,300.32413,300.32413,301.45966,298.75742,301.80975,298.75742,301.80975,301.80975,301.83856,299.8004,301.83856,299.8004,301.83856,302.20035,302.20035,302.20035,302.20035,302.29343,302.29343,302.29343,302.29343,302.29343,302.29343,302.29343,301.38165,301.38165,300.61877,300.61877,300.61877,300.61877,299.8479,299.8479,299.13165,298.3354,298.3354,298.3354,298.3354,298.3354,298.3354,301.80978,297.4497,300.58182,296.22366,300.3799,296.22366,296.22366,296.22366,295.95886,295.95886,295.95886,295.59552,295.59552
1850-05-01 0:00:00,294.15396,294.15396,294.15396,295.06537,294.8376,296.04575,297.87286,297.87286,297.87286,301.9156,301.9156,299.83237,301.91788,301.91788,301.91788,301.91788,301.91788,301.91788,302.66315,302.66315,299.4078,295.5938,298.49786,300.28302,300.28302,300.28302,303.6808,298.1637,298.1637,298.75714,299.0831,299.0831,299.7907,298.1421,298.1421,300.82297,300.82297,300.72693,300.72693,301.68634,299.17145,302.04395,299.17145,302.04395,302.04395,302.06778,300.3672,302.06778,300.3672,302.06778,301.9915,301.9915,301.9915,301.9915,301.76456,301.76456,301.76456,301.76456,301.76456,301.76456,301.76456,301.04953,301.04953,300.3344,300.3344,300.3344,300.3344,299.5467,299.5467,298.86823,298.154,298.154,298.154,298.154,298.154,298.154,301.54773,297.31668,299.99045,295.93082,299.7047,295.93082,295.93082,295.93082,295.47418,295.47418,295.47418,294.80933,294.80933
1850-06-01 0:00:00,294.73712,294.73712,294.73712,295.78906,300.8471,302.3597,299.452,299.452,299.452,305.54974,305.54974,300.8841,306.0485,306.0485,306.0485,306.0485,306.0485,306.0485,305.37973,305.37973,300.01672,295.76544,299.16003,301.1385,301.1385,301.1385,301.8529,298.81924,298.81924,299.1671,300.47275,300.47275,299.63992,297.24527,297.24527,301.13107,301.13107,301.355,301.355,301.54486,300.11673,301.73193,300.11673,301.73193,301.73193,302.0386,299.12805,302.0386,299.12805,302.0386,302.1263,302.1263,302.1263,302.1263,301.61905,301.61905,301.61905,301.61905,301.61905,301.61905,301.61905,300.32947,300.32947,299.58456,299.58456,299.58456,299.58456,298.71207,298.71207,297.88095,297.1545,297.1545,297.1545,297.1545,297.1545,297.1545,301.13297,296.3816,299.20343,295.1017,298.4774,295.1017,295.1017,295.1017,294.72385,294.72385,294.72385,293.76624,293.76624
1850-07-01 0:00:00,296.7453,296.7453,296.7453,297.76553,306.21915,307.71347,300.98914,300.98914,300.98914,310.36234,310.36234,301.17194,308.49548,308.49548,308.49548,308.49548,308.49548,308.49548,307.05582,307.05582,300.16736,296.71014,299.28677,300.913,300.913,300.913,301.22086,298.9418,298.9418,299.34366,301.23984,301.23984,299.10123,296.90173,296.90173,301.03735,301.03735,301.37848,301.37848,301.0989,300.587,301.06274,300.587,301.06274,301.06274,300.9518,298.57556,300.9518,298.57556,300.9518,300.9931,300.9931,300.9931,300.9931,300.70175,300.70175,300.70175,300.70175,300.70175,300.70175,300.70175,299.1339,299.1339,298.35083,298.35083,298.35083,298.35083,297.45175,297.45175,296.55692,295.89078,295.89078,295.89078,295.89078,295.89078,295.89078,300.16763,295.2469,297.90976,294.16818,296.9522,294.16818,294.16818,294.16818,293.78027,293.78027,293.78027,292.4726,292.4726
1850-08-01 0:00:00,298.44128,298.44128,298.44128,299.1971,308.9835,309.55847,301.8289,301.8289,301.8289,309.02274,309.02274,301.56982,307.5947,307.5947,307.5947,307.5947,307.5947,307.5947,306.1975,306.1975,300.49393,297.3008,299.63132,300.8282,300.8282,300.8282,300.57748,299.3467,299.3467,299.94577,301.40833,301.40833,299.07678,296.58627,296.58627,301.50223,301.50223,301.54483,301.54483,301.16995,300.3354,300.53958,300.3354,300.53958,300.53958,299.7576,297.71442,299.7576,297.71442,299.7576,299.89926,299.89926,299.89926,299.89926,299.69986,299.69986,299.69986,299.69986,299.69986,299.69986,299.69986,298.2869,298.2869,297.5091,297.5091,297.5091,297.5091,296.5999,296.5999,295.6692,294.94867,294.94867,294.94867,294.94867,294.94867,294.94867,299.34476,294.32462,296.9348,293.17078,295.93884,293.17078,293.17078,293.17078,292.71576,292.71576,292.71576,291.51257,291.51257
1850-09-01 0:00:00,299.74332,299.74332,299.74332,300.36072,304.6717,307.1295,301.87244,301.87244,301.87244,307.30936,307.30936,301.95767,305.42975,305.42975,305.42975,305.42975,305.42975,305.42975,302.87488,302.87488,300.5343,297.9203,300.0652,301.169,301.169,301.169,299.94455,299.79437,299.79437,300.54623,301.72278,301.72278,299.53278,296.29916,296.29916,301.84613,301.84613,301.35458,301.35458,299.9832,299.55145,298.93365,299.55145,298.93365,298.93365,297.69165,296.69403,297.69165,296.69403,297.69165,298.01224,298.01224,298.01224,298.01224,298.62643,298.62643,298.62643,298.62643,298.62643,298.62643,298.62643,297.45953,297.45953,296.79678,296.79678,296.79678,296.79678,295.9857,295.9857,295.09518,294.23062,294.23062,294.23062,294.23062,294.23062,294.23062,298.73184,293.52457,296.39865,292.42883,295.5262,292.42883,292.42883,292.42883,291.98428,291.98428,291.98428,290.85394,290.85394
1850-10-01 0:00:00,300.0945,300.0945,300.0945,300.71503,301.65393,303.37964,301.33163,301.33163,301.33163,306.31784,306.31784,301.83585,304.8993,304.8993,304.8993,304.8993,304.8993,304.8993,302.97137,302.97137,300.66208,299.21872,300.41696,301.24527,301.24527,301.24527,300.30447,300.10504,300.10504,300.39536,302.00793,302.00793,299.42484,296.43057,296.43057,301.9069,301.9069,300.89703,300.89703,299.2038,298.6478,298.16077,298.6478,298.16077,298.16077,297.1212,296.9187,297.1212,296.9187,297.1212,297.5846,297.5846,297.5846,297.5846,298.01416,298.01416,298.01416,298.01416,298.01416,298.01416,298.01416,297.07886,297.07886,296.2727,296.2727,296.2727,296.2727,295.57706,295.57706,294.82245,294.06296,294.06296,294.06296,294.06296,294.06296,294.06296,299.09686,293.35016,296.60254,292.1369,295.94775,292.1369,292.1369,292.1369,291.6219,291.6219,291.6219,290.56448,290.56448
1850-11-01 0:00:00,298.53113,298.53113,298.53113,299.44513,295.17523,297.1086,300.70743,300.70743,300.70743,303.14407,303.14407,302.0086,303.08206,303.08206,303.08206,303.08206,303.08206,303.08206,303.56345,303.56345,300.6943,299.4911,300.4099,301.31046,301.31046,301.31046,301.86533,299.97528,299.97528,299.77307,301.627,301.627,299.3395,296.71017,296.71017,302.00253,302.00253,300.82233,300.82233,299.55283,298.88828,298.92,298.88828,298.92,298.92,298.00247,297.77197,298.00247,297.77197,298.00247,298.02924,298.02924,298.02924,298.02924,298.25806,298.25806,298.25806,298.25806,298.25806,298.25806,298.25806,297.18738,297.18738,296.1902,296.1902,296.1902,296.1902,295.31613,295.31613,294.55774,293.92047,293.92047,293.92047,293.92047,293.92047,293.92047,299.34747,293.29654,296.6485,292.24918,296.1682,292.24918,292.24918,292.24918,291.79202,291.79202,291.79202,290.8672,290.8672
1850-12-01 0:00:00,296.61874,296.61874,296.61874,297.5386,288.81073,290.7571,299.3479,299.3479,299.3479,295.82785,295.82785,301.49075,296.16116,296.16116,296.16116,296.16116,296.16116,296.16116,297.4206,297.4206,300.11,298.89273,300.03644,300.3839,300.3839,300.3839,298.56174,299.68057,299.68057,299.12936,301.748,301.748,299.0536,296.59894,296.59894,301.9666,301.9666,301.05826,301.05826,300.63287,299.55334,300.07678,299.55334,300.07678,300.07678,299.36362,298.64014,299.36362,298.64014,299.36362,299.19763,299.19763,299.19763,299.19763,299.14365,299.14365,299.14365,299.14365,299.14365,299.14365,299.14365,298.04123,298.04123,297.00858,297.00858,297.00858,297.00858,295.9523,295.9523,295.11896,294.34955,294.34955,294.34955,294.34955,294.34955,294.34955,299.83224,293.6546,297.7687,292.65988,296.71533,292.65988,292.65988,292.65988,292.3868,292.3868,292.3868,292.18088,292.18088
1851-01-01 0:00:00,295.22525,295.22525,295.22525,296.2289,282.19342,283.1811,298.11572,298.11572,298.11572,288.08524,288.08524,300.46286,288.79507,288.79507,288.79507,288.79507,288.79507,288.79507,290.3987,290.3987,299.18152,296.8709,299.07135,299.36652,299.36652,299.36652,294.5558,298.5753,298.5753,298.28485,300.5655,300.5655,298.62173,294.2634,294.2634,301.9357,301.9357,301.24664,301.24664,300.76736,299.73453,300.50143,299.73453,300.50143,300.50143,300.3037,298.75693,300.3037,298.75693,300.3037,300.23044,300.23044,300.23044,300.23044,300.01462,300.01462,300.01462,300.01462,300.01462,300.01462,300.01462,299.22476,299.22476,298.34683,298.34683,298.34683,298.34683,297.3115,297.3115,296.45782,295.72662,295.72662,295.72662,295.72662,295.72662,295.72662,300.70413,294.99753,298.70624,293.77014,297.93893,293.77014,293.77014,293.77014,293.46875,293.46875,293.46875,293.6901,293.6901
1851-02-01 0:00:00,293.27823,293.27823,293.27823,294.38336,280.92096,283.0275,296.4821,296.4821,296.4821,289.1002,289.1002,299.65555,289.97485,289.97485,289.97485,289.97485,289.97485,289.97485,291.43314,291.43314,298.71188,295.93155,298.47894,298.6441,298.6441,298.6441,294.48227,297.89673,297.89673,298.05276,298.98972,298.98972,298.2478,296.00153,296.00153,301.6123,301.6123,301.18185,301.18185,300.66965,299.94736,300.69824,299.94736,300.69824,300.69824,300.81824,299.4269,300.81824,299.4269,300.81824,301.24768,301.24768,301.24768,301.24768,301.0941,301.0941,301.0941,301.0941,301.0941,301.0941,301.0941,300.32486,300.32486,299.67743,299.67743,299.67743,299.67743,298.90063,298.90063,298.04788,297.13788,297.13788,297.13788,297.13788,297.13788,297.13788,300.74826,296.2633,299.68405,295.15173,298.41782,295.15173,295.15173,295.15173,295.06427,295.06427,295.06427,295.69666,295.69666
1851-03-01 0:00:00,292.41467,292.41467,292.41467,293.5655,285.88254,287.39938,295.96436,295.96436,295.96436,291.889,291.889,299.119,292.23975,292.23975,292.23975,292.23975,292.23975,292.23975,293.0734,293.0734,298.56735,295.984,298.12048,298.36407,298.36407,298.36407,295.47412,297.64917,297.64917,297.99603,298.9042,298.9042,298.70847,297.6623,297.6623,301.5461,301.5461,301.29987,301.29987,300.55588,299.71976,300.66278,299.71976,300.66278,300.66278,301.33884,299.7476,301.33884,299.7476,301.33884,302.1599,302.1599,302.1599,302.1599,302.16507,302.16507,302.16507,302.16507,302.16507,302.16507,302.16507,301.26743,301.26743,300.47293,300.47293,300.47293,300.47293,299.7406,299.7406,298.94116,297.98227,297.98227,297.98227,297.98227,297.98227,297.98227,301.89688,297.0166,300.4194,295.81506,299.547,295.81506,295.81506,295.81506,295.6299,295.6299,295.6299,295.8642,295.8642
