record,lat,lon,site
CO18RELC01A,19.7,-80.06,Little Cayman
CO96SWBB,25.3903,-80.1715,"Alinas Reef, Biscayne National Park, Florida"
CO96SWFB,24.9167,-80.75,"Lignumvitae Basin, Florida Bay"
CO99SWFB,24.9167,-80.75,"Lignumvitae Basin, Florida Bay"
CO94LISE,7.98,-82.05,"Secas Island, Gulf of Chiriqui, Panama"
