record,lat,lon,site
CO92SHPU,-0.6667,-89.1667,"Punta pitt, Isla San Cristobal, Galapagos island, Ecuador"
CO94DUUR,-0.4084,-91.234,"Urvina Bay, Galapagos Islands"
CO98BOFP,-17.5,-149.8333,"Moorea, French Polynesia"
CO04LIRA,-21.2378,-159.8278,"Rarotonga, Cook Islands, South Pacific"
CO18DATO01A,-20.2792,-174.6423,Fonoifua Island
