record,resolution,duration,archive,lat,lon,infMat,var,interp,season,start_year,end_year,site,pub
CO14CATI,0.083256244,90,Coral,-10.2,123.5167,surface seawater,d18O,Temperature,subannual,1914.46,2004.46,"Ombai Strait, Timor Island","Cahyarini, S. Y., Pfeiffer, M., Nurhati, I. S., Aldrian, E., Dullo, W.-C. and Hetzinger, S.: Twentieth century sea surface temperature and salinity variations at Timor inferred from paired coral d18O and Sr/Ca measurements, Journal of Geophysical Research: Oceans, 119(7), 4593–4604, doi:10.1002/2013jc009594, 2014."
CO13HENG,0.087491012,28.084615,Coral,-10.6907,152.8115,surface seawater,d18O,EffectiveMoisture,subannual,1916.925,1945.009615,"Misima Island, Papua New Guinea","Hereid, K. A., Quinn, T. M., Taylor, F. W., Shen, C.-C., Lawrence Edwards, R. and Cheng, H.: Coral record of reduced El Nino activity in the early 15th to middle 17th centuries, Geology, 41(1), 51–54, doi:10.1130/g33510.1, 2012."
CO08HEVE,0.083253589,87,Coral,11.77,-66.75,surface seawater,d18O,Temperature,subannual,1917.79,2004.79,"Cayo Sal, Los Roques Archipelago, Venezuela","Hetzinger, S., Pfeiffer, M., Dullo, W.-C., Keenlyside, N., Latif, M. and Zinke, J.: Caribbean coral tracks Atlantic Multidecadal Oscillation and past hurricane activity, Geology, 36(1), 11, doi:10.1130/g24321a.1, 2008."
CO13CAHN,0.132464678,84.38,Coral,16.0644,-86.9508,surface seawater,d18O,Temperature,subannual,1922.09,2006.47,"Diamond Caye, Utila, Honduras","Carilli, J. E., Charles, C. D., Garren, M., McField, M. and Norris, R. D.: Baseline shifts in coral skeletal oxygen isotopic composition: a signature of symbiont shuffling?, Coral Reefs, 32(2), 559–571, doi:10.1007/s00338-012-1004-y, 2013."
CO95TUNG,0.249094203,68.75,Coral,-5.22,145.82,surface seawater,d18O,EffectiveMoisture,subannual,1922.542,1991.292,"Madang, Papua New Guinea","Tudhope, A. W., Shimmield, G. B., Chilcott, C. P., Jebb, M., Fallick, A. E. and Dalgleish, A. N.: Recent changes in climate in the far western equatorial Pacific and their relationship to the Southern Oscillation; oxygen isotope records from massive corals, Papua New Guinea, Earth and Planetary Science Letters, 136(3-4), 575–590, doi:10.1016/0012-821x(95)00156-7, 1995."
CO17MUMA,0.16829703,84.99,Coral,-5.382,117.914,surface seawater,d18O,EffectiveMoisture,subannual,1926.95,2011.94,Doangdoangan Besar,"Murty, S. A., Goodkin, N. F., Halide, H., Natawidjaja, D., Suwargadi, B., Suprihanto, I., Prayudi, D., Switzer, A. D. and Gordon, A. L.: Climatic Influences on Southern Makassar Strait Salinity Over the Past Century, Geophysical Research Letters, 44(23), 11,967–11,975, doi:10.1002/2017gl075504, 2017."
CO04KIVA,0.067072403,63.92,Coral,-15.7,167.2,surface seawater,d18O,Temperature,subannual,1928.54,1992.46,"Malo Channel, Espiritu Santo Island, Vanuatu","Kilbourne, K. H., Quinn, T. M., Taylor, F. W., Delcroix, T. and Gouriou, Y.: El Nino-Southern Oscillation-related salinity variations recorded in the skeletal geochemistry of aPoritescoral from Espiritu Santo, Vanuatu, Paleoceanography, 19(4), n/a–n/a, doi:10.1029/2004pa001033, 2004."
CO06MOPE,0.083238636,73.25,Coral,16.75,-22.8883,surface seawater,d18O,EffectiveMoisture,subannual,1928.96,2002.21,"Pedra de Lume, Cape Verde Islands","Moses, C. S., Swart, P. K. and Rosenheim, B. E.: Evidence of multidecadal salinity variability in the eastern tropical North Atlantic, Paleoceanography, 21(3), doi:10.1029/2005pa001257, 2006."
CO06MOTO,0.983050847,58,Coral,11.17,-60.85,surface seawater,d18O,EffectiveMoisture,subannual,1932,1990,"Buccoo Reef, Tobago",NA
CO92SHPU,0.248663102,46.5,Coral,-0.6667,-89.1667,surface seawater,d18O,Temperature,subannual,1936,1982.5,"Punta pitt, Isla San Cristobal, Galapagos island, Ecuador","Shen, G. T., Cole, J. E., Lea, D. W., Linn, L. J., McConnaughey, T. A. and Fairbanks, R. G.: Surface ocean variability at Galapagos from 1936-1982: Calibration of geochemical tracers in corals, Paleoceanography, 7(5), 563–588, doi:10.1029/92pa01825, 1992."
CO98EVXM,0.083207519,55.333,Coral,1.6792,-157.2473,surface seawater,d18O,Temperature,subannual,1938.292,1993.625,Kiritimati,"Evans, M. N., Fairbanks, R. G. and Rubenstone, J. L.: A proxy index of ENSO teleconnections, Nature, 394(6695), 732–733, doi:10.1038/29424, 1998."
CO98SWPR,0.981481481,53,Coral,1.6667,7.5833,surface seawater,d18O,EffectiveMoisture,annual,1939,1992,"Principe, Gulf of Guinea","Swart, P. K., White, K. S., Enfield, D., Dodge, R. E. and Milne, P.: Stable oxygen isotopic composition of corals from the Gulf of Guinea as indicators of periods of extreme precipitation conditions in the sub-Sahara, Journal of Geophysical Research: Oceans, 103(C12), 27885–27891, doi:10.1029/98jc02404, 1998."
CO04BAFI,0.983606557,60,Coral,-16.8167,179.2333,surface seawater,d18O,Temperature,annual,1940,2000,"Savusavu Bay, Fiji","Bagnato, S., Linsley, B. K., Howe, S. S., Wellington, G. M. and Salinger, J.: Evaluating the use of the massive coralDiploastrea helioporafor paleoclimate reconstruction, Paleoceanography, 19(1), n/a–n/a, doi:10.1029/2003pa000935, 2004."
CO13CAHN,0.131163708,66.5,Coral,16.0644,-86.9508,surface seawater,d18O,Temperature,subannual,1940,2006.5,"Diamond Caye, Utila, Honduras","Carilli, J. E., Charles, C. D., Garren, M., McField, M. and Norris, R. D.: Baseline shifts in coral skeletal oxygen isotopic composition: a signature of symbiont shuffling?, Coral Reefs, 32(2), 559–571, doi:10.1007/s00338-012-1004-y, 2013."
CO13CABL,0.144581498,65.64,Coral,16.1292,-88.2497,surface seawater,d18O,Temperature,subannual,1940.37,2006.01,Belize,"Carilli, J. E., Charles, C. D., Garren, M., McField, M. and Norris, R. D.: Baseline shifts in coral skeletal oxygen isotopic composition: a signature of symbiont shuffling?, Coral Reefs, 32(2), 559–571, doi:10.1007/s00338-012-1004-y, 2013."
CO98CHPI,0.305147059,41.5,Coral,22.6,70,surface seawater,d18O,Temperature,subannual,1948,1989.5,Pirotan Island,"Chakraborty, S., and R. Ramesh. 1998. Stable isotope variations in a coral (Favia speciosa) from the Gulf of Kutch during 1948-1989 AD: Environmental implications. Proceedings of the Indian Academy of Science (Earth and Planetary Sciences) 107(4):331-341."
CO13COTB,0.083096591,29.25,Coral,3.9062,-159.2859,surface seawater,d18O,Temperature,subannual,1949.54,1978.79,Fanning Island (composite),"Cobb, K. M., Charles, C. D., Cheng, H. and Edwards, R. L.: El Nino/Southern Oscillation and tropical Pacific climate during the last millennium, Nature, 424(6946), 271–276, doi:10.1038/nature01779, 2003."
CO17LITW01A,0.083205128,51.92,Coral,21.9564,120.762,surface seawater,d18O,Temperature,subannual,1953,2004.92,Nanwan Bay,"Li, X., Liu, Y., Hsin, Y.-C., Liu, W., Shi, Z., Chiang, H.-W. and Shen, C.-C.: Coral record of variability in the upstream Kuroshio Current during 1953-2004, Journal of Geophysical Research: Oceans, 122(8), 6936–6946, doi:10.1002/2017jc012944, 2017."
CO17RAPA,0.083223966,58.34,Coral,18.54,122.15,surface seawater,d18O,EffectiveMoisture,subannual,1954.04,2012.38,Palaui Island,"Ramos, R. D., Goodkin, N. F., Siringan, F. P. and Hughen, K. A.: Diploastrea heliopora Sr/Ca and d18O records from northeast Luzon, Philippines: An assessment of interspecies coral proxy calibrations and climate controls of sea surface temperature and salinity, Paleoceanography, 32(4), 424–438, doi:10.1002/2017pa003098, 2017."
CO17RAPA,0.083223966,58.34,Coral,18.54,122.15,surface seawater,d18O,EffectiveMoisture,subannual,1954.04,2012.38,Palaui Island,"Ramos, R. D., Goodkin, N. F., Siringan, F. P. and Hughen, K. A.: Diploastrea heliopora Sr/Ca and d18O records from northeast Luzon, Philippines: An assessment of interspecies coral proxy calibrations and climate controls of sea surface temperature and salinity, Paleoceanography, 32(4), 424–438, doi:10.1002/2017pa003098, 2017."
CO15ABSP,0.083170254,42.5,Coral,-3.1833,100.5167,surface seawater,d18O,Temperature,subannual,1959.041667,2001.541667,Taitaitanopo Island,"Abram, N. J., Dixon, B. C., Rosevear, M. G., Plunkett, B., Gagan, M. K., Hantoro, W. S. and Phipps, S. J.: Optimized coral reconstructions of the Indian Ocean Dipole: An assessment of location and length considerations, Paleoceanography, 30(10), 1391–1405, doi:10.1002/2015pa002810, 2015."
CO14CABT,0.166123779,51,Coral,3.0731,172.7469,surface seawater,d18O,Temperature,subannual,1959.374,2010.374,"Butaritari Atoll, Gilbert Islands","Carilli, J. E., McGregor, H. V., Gaudry, J. J., Donner, S. D., Gagan, M. K., Stevenson, S., Wong, H. and Fink, D.: Equatorial Pacific coral geochemical records show recent weakening of the Walker Circulation, Paleoceanography, 29(11), 1031–1045, doi:10.1002/2014pa002683, 2014."
CO04PFCH,0.165865385,34.5,Coral,-5.43,71.77,surface seawater,d18O,EffectiveMoisture,subannual,1961.125,1995.625,Peros Banhos Atoll,"Pfeiffer, M., Dullo, W.-C. and Eisenhauer, A.: Variability of the Intertropical Convergence Zone recorded in coral isotopic records from the central indian Ocean (Chagos Archipelago), Quaternary Research, 61(3), 245–255, doi:10.1016/j.yqres.2004.02.009, 2004."
CO09NUTB,0.083109453,33.41,Coral,3.9062,-159.2859,surface seawater,d18O,EffectiveMoisture,subannual,1972.13,2005.54,Fanning Island,"Nurhati, I. S., Cobb, K. M., Charles, C. D. and Dunbar, R. B.: Late 20th century warming and freshening in the central tropical Pacific, Geophysical Research Letters, 36(21), doi:10.1029/2009gl040270, 2009."
CO18HECO01B,0.085923077,22.34,Coral,-12.087,96.875,surface seawater,d18O,Temperature,subannual,1988.58,2010.92,Direction Island,"Hennekam, R., Zinke, J., van Sebille, E., ten Have, M., Brummer, G.-J. A. and Reichart, G.-J.: Cocos (Keeling) Corals Reveal 200 Years of Multidecadal Modulation of Southeast Indian Ocean Hydrology by Indonesian Throughflow, Paleoceanography and Paleoclimatology, 33(1), 48–60, doi:10.1002/2017pa003181, 2018."
