record,resolution,duration,archive,lat,lon,infMat,var,interp,season,start_year,end_year,site,pub
CO17DESC04A,0.985915493,70,Coral,19.3198,110.692,surface seawater,d18O,EffectiveMoisture,annual,1702,1772,Hainan Island,"Deng, W., Liu, X., Chen, X., Wei, G., Zeng, T., Xie, L. and Zhao, J.: A comparison of the climates of the Medieval Climate Anomaly, Little Ice Age, and Current Warm Period reconstructed using coral records from the northern South China Sea, Journal of Geophysical Research: Oceans, 122(1), 264–275, doi:10.1002/2016jc012458, 2017."
CO94LISE,0.101634227,276.75,Coral,7.98,-82.05,surface seawater,d18O,EffectiveMoisture,subannual,1707.75,1984.5,"Secas Island, Gulf of Chiriqui, Panama","Linsley, B. K., Dunbar, R. B., Wellington, G. M. and Mucciarone, D. A.: A coral-based reconstruction of Intertropical Convergence Zone variability over Central America since 1707, Journal of Geophysical Research, 99(C5), 9977, doi:10.1029/94jc00360, 1994."
CO07CAFR,4.912280702,280,Coral,-17.73,148.43,surface seawater,d18O,EffectiveMoisture,annual,1708,1988,Coral Sea,"Calvo, E., Marshall, J. F., Pelejero, C., McCulloch, M. T., Gagan, M. K. and Lough, J. M.: Interdecadal climate variability in the Coral Sea since 1708 A.D., Palaeogeography, Palaeoclimatology, Palaeoecology, 248(1-2), 190–201, doi:10.1016/j.palaeo.2006.12.003, 2007."
CO04LIRA,0.124944496,270.13,Coral,-21.2378,-159.8278,surface seawater,d18O,Temperature,subannual,1726.78,1996.91,"Rarotonga, Cook Islands, South Pacific","Wellington, G. M., Schrag, D. P., Ren, L., Salinger, M. J., Tudhope, A. W. and Linsley, B. K.: Geochemical evidence from corals for changes in the amplitude and spatial pattern of South Pacific interdecadal climate variability over the last 300 years, Climate Dynamics, 22(1), 1–11, doi:10.1007/s00382-003-0364-y, 2004."
CO08KIPR,0.996062992,253,Coral,17.933,-67.001,surface seawater,d18O,Temperature,annual,1751,2004,"Turrumote Reef, La Parguera, Puerto Rico","Kilbourne, K. H., Quinn, T. M., Webb, R., Guilderson, T., Nyberg, J. and Winter, A.: Paleoclimate proxy perspective on Caribbean climate since the year 1751: Evidence of cooler temperatures and multidecadal variability, Paleoceanography, 23(3), n/a–n/a, doi:10.1029/2008pa001598, 2008."
CO96SWBB,0.995762712,235,Coral,25.3903,-80.1715,surface seawater,d18O,EffectiveMoisture,subannual,1751,1986,"Alinas Reef, Biscayne National Park, Florida","Swart, P. K., Dodge, R. E. and Hudson, H. J.: A 240-Year Stable Oxygen and Carbon Isotopic Record in a Coral from South Florida: Implications for the Prediction of Precipitation in Southern Florida, PALAIOS, 11(4), 362, doi:10.2307/3515246, 1996."
CO00FERA,0.166553134,244.5,Coral,27.85,34.32,surface seawater,d18O,Temperature,subannual,1751.083,1995.583,"Ras Umm Sidd, Red Sea","Felis, T., Paetzold, J., Loya, Y., Fine, M., Nawar, A. H. and Wefer, G.: A coral oxygen isotope record from the northern Red Sea documenting NAO, ENSO, and North Pacific teleconnections on Middle East climate variability since the year 1750, Paleoceanography, 15(6), 679–694, doi:10.1029/1999pa000477, 2000."
CO05BAFI,0.995575221,225,Coral,-16.8167,179.2333,surface seawater,d18O,Temperature,annual,1776,2001,"Savusavu Bay, Fiji","Bagnato, S., Linsley, B. K., Howe, S. S., Wellington, G. M. and Salinger, J.: Coral oxygen isotope records of interdecadal climate variations in the South Pacific Convergence Zone region, Geochemistry, Geophysics, Geosystems, 6(6), doi:10.1029/2004gc000879, 2005."
CO04LIFI,0.99537037,215,Coral,-16.8167,179.2333,surface seawater,d18O,Temperature,subannual,1781.5,1996.5,Savusavu Bay,"Wellington, G. M., Schrag, D. P., Ren, L., Salinger, M. J., Tudhope, A. W. and Linsley, B. K.: Geochemical evidence from corals for changes in the amplitude and spatial pattern of South Pacific interdecadal climate variability over the last 300 years, Climate Dynamics, 22(1), 1–11, doi:10.1007/s00382-003-0364-y, 2004."
CO03CHBA,0.08329996,208,Coral,-8.2573,115.5757,surface seawater,d18O,EffectiveMoisture,subannual,1782,1990,"Lombok Strait, Bali, Indonesia","Charles, C. D., Cobb, K., Moore, M. D. and Fairbanks, R. G.: Monsoon–tropical ocean interaction in a network of coral records spanning the 20th century, Marine Geology, 201(1-3), 207–222, doi:10.1016/s0025-3227(03)00217-2, 2003."
CO08GOBE,0.995391705,216,Coral,30.6486,-64.9888,surface seawater,d18O,Temperature,subannual,1782,1998,Bermuda south shore,"Goodkin, N. F., Hughen, K. A., Doney, S. C. and Curry, W. B.: Increased multidecadal variability of the North Atlantic Oscillation since 1781, Nature Geoscience, 1(12), 844–848, doi:10.1038/ngeo352, 2008."
CO94HEAQ,0.990291262,204,Coral,29.4333,34.9667,surface seawater,d18O,Temperature,annual,1788,1992,"Aqaba, Jordan","Heiss, G.A. 1994. Coral reefs in the Red Sea: Growth, production and stable isotopes. GEOMAR Report, 32:1-141."
CO05ASGU,0.083301625,210.17,Coral,13.598,144.836,surface seawater,d18O,Temperature,subannual,1790.04,2000.21,Guam Coral,"Asami, R.: Interannual and decadal variability of the western Pacific sea surface condition for the years 1787–2000: Reconstruction based on stable isotope record from a Guam coral, Journal of Geophysical Research, 110(C5), doi:10.1029/2004jc002555, 2005."
CO14OSPA,0.083301046,215,Coral,7.2859,134.2503,surface seawater,d18O,EffectiveMoisture,subannual,1793.17,2008.17,Palau,"Osborne, M. C., Dunbar, R. B., Mucciarone, D. A., Druffel, E. and Sanchez-Cabeza, J.-A.: A 215-yr coral d18O time series from Palau records dynamics of the West Pacific Warm Pool following the end of the Little Ice Age, Coral Reefs, 33(3), 719–731, doi:10.1007/s00338-014-1146-1, 2014."
CO99KUHO,0.1665301,199.17,Coral,-28.4617,113.7683,surface seawater,d18O,Temperature,subannual,1794.75,1993.92,Houtman Abrolhos Islands,"Kuhnert, H., Paetzold, J., Hatcher, B., Wyrwoll, K.-H., Eisenhauer, A., Collins, L. B., Zhu, Z. R. and Wefer, G.: A 200-year coral stable oxygen isotope record from a high-latitude reef off Western Australia, Coral Reefs, 18(1), 1–12, doi:10.1007/s003380050147, 1999."
CO00COKY,0.994845361,193,Coral,-3.2556,40.1433,surface seawater,d18O,Temperature,annual,1801,1994,Malindi Marine Park,"Cole, J. E.: Tropical Pacific Forcing of Decadal SST Variability in the Western Indian Ocean over the Past Two Centuries, Science, 287(5453), 617–619, doi:10.1126/science.287.5453.617, 2000."
CO96QUVA,0.994219653,172,Coral,-15,167,surface seawater,d18O,Temperature,subannual,1807,1979,"Tangoa Island, Vanuatu","Quinn, T. M., Taylor, F. W. and Crowley, T. J.: A 173 year stable isotope record from a tropical south pacific coral 0, Quaternary Science Reviews, 12(6), 407–418, doi:10.1016/s0277-3791(05)80005-8, 1993."
