time,SALT,TS
1851-01-01 00:00:00,33.96176,297.30032
1851-02-01 00:00:00,33.933693,296.18295
1851-03-01 00:00:00,33.908924,295.7153
1851-04-01 00:00:00,33.89926,296.76108
1851-05-01 00:00:00,33.88096,297.23413
1851-06-01 00:00:00,33.873478,298.88504
1851-07-01 00:00:00,33.90006,300.47827
1851-08-01 00:00:00,33.920547,301.13254
1851-09-01 00:00:00,33.947292,301.8317
1851-10-01 00:00:00,33.959267,301.48135
1851-11-01 00:00:00,33.955692,300.79904
1851-12-01 00:00:00,33.950638,299.23737
1852-01-01 00:00:00,33.90667,297.86893
1852-02-01 00:00:00,33.874847,296.5825
1852-03-01 00:00:00,33.854248,295.98267
1852-04-01 00:00:00,33.82379,296.8958
1852-05-01 00:00:00,33.83258,298.49393
1852-06-01 00:00:00,33.843174,299.9544
1852-07-01 00:00:00,33.86477,300.93213
1852-08-01 00:00:00,33.889214,301.23306
1852-09-01 00:00:00,33.908375,301.39508
1852-10-01 00:00:00,33.91665,301.46472
1852-11-01 00:00:00,33.919914,300.71072
1852-12-01 00:00:00,33.920033,299.27084
1853-01-01 00:00:00,33.90081,297.86993
1853-02-01 00:00:00,33.87263,296.93597
1853-03-01 00:00:00,33.84956,296.57645
1853-04-01 00:00:00,33.83332,296.30826
1853-05-01 00:00:00,33.812336,296.87875
1853-06-01 00:00:00,33.825043,299.0905
1853-07-01 00:00:00,33.860424,300.73224
1853-08-01 00:00:00,33.897537,301.3847
1853-09-01 00:00:00,33.928192,302.0735
1853-10-01 00:00:00,33.938637,301.85437
1853-11-01 00:00:00,33.936764,300.81668
1853-12-01 00:00:00,33.935158,298.90976
1854-01-01 00:00:00,33.92257,297.4374
1854-02-01 00:00:00,33.886375,296.78217
1854-03-01 00:00:00,33.86188,296.1971
1854-04-01 00:00:00,33.85467,296.70346
1854-05-01 00:00:00,33.843914,298.02066
1854-06-01 00:00:00,33.84235,299.50146
1854-07-01 00:00:00,33.85578,300.279
1854-08-01 00:00:00,33.875713,301.07364
1854-09-01 00:00:00,33.90756,301.518
1854-10-01 00:00:00,33.91718,301.3268
1854-11-01 00:00:00,33.918495,300.46683
1854-12-01 00:00:00,33.912224,298.8001
1855-01-01 00:00:00,33.88075,297.66733
1855-02-01 00:00:00,33.846764,297.01733
1855-03-01 00:00:00,33.82789,297.03262
1855-04-01 00:00:00,33.80772,296.79343
1855-05-01 00:00:00,33.792843,297.73047
1855-06-01 00:00:00,33.800877,298.9245
1855-07-01 00:00:00,33.81694,300.7211
1855-08-01 00:00:00,33.833572,300.95496
1855-09-01 00:00:00,33.863514,301.20093
1855-10-01 00:00:00,33.89267,300.90472
1855-11-01 00:00:00,33.90348,299.9852
1855-12-01 00:00:00,33.91027,297.96866
1856-01-01 00:00:00,33.912037,296.97488
1856-02-01 00:00:00,33.890095,296.44568
1856-03-01 00:00:00,33.87893,295.7321
1856-04-01 00:00:00,33.880783,296.0358
1856-05-01 00:00:00,33.877186,296.7993
1856-06-01 00:00:00,33.884262,298.65552
1856-07-01 00:00:00,33.923714,300.39587
1856-08-01 00:00:00,33.960262,301.05783
1856-09-01 00:00:00,33.984787,301.23618
1856-10-01 00:00:00,33.995975,301.24048
1856-11-01 00:00:00,33.99562,300.6034
1856-12-01 00:00:00,33.985695,298.52484
1857-01-01 00:00:00,33.981083,296.9491
1857-02-01 00:00:00,33.951733,296.15067
1857-03-01 00:00:00,33.930298,295.41107
1857-04-01 00:00:00,33.906055,295.19482
1857-05-01 00:00:00,33.89079,296.5043
1857-06-01 00:00:00,33.900803,298.62494
1857-07-01 00:00:00,33.91479,299.8866
1857-08-01 00:00:00,33.93027,300.61594
1857-09-01 00:00:00,33.966198,301.19894
1857-10-01 00:00:00,33.98044,301.19485
1857-11-01 00:00:00,33.985188,300.48215
1857-12-01 00:00:00,33.984352,298.67737
1858-01-01 00:00:00,33.96695,297.38327
1858-02-01 00:00:00,33.91759,296.12384
1858-03-01 00:00:00,33.882698,296.98343
1858-04-01 00:00:00,33.87439,297.01712
1858-05-01 00:00:00,33.86909,296.82492
1858-06-01 00:00:00,33.90318,297.9523
1858-07-01 00:00:00,33.920563,299.71124
1858-08-01 00:00:00,33.96663,300.67392
1858-09-01 00:00:00,34.007942,301.31244
1858-10-01 00:00:00,34.018383,301.00534
1858-11-01 00:00:00,34.01863,300.37643
1858-12-01 00:00:00,34.01724,297.91956
1859-01-01 00:00:00,33.988777,297.24988
1859-02-01 00:00:00,33.959976,296.092
1859-03-01 00:00:00,33.938892,295.5789
1859-04-01 00:00:00,33.921677,296.23645
1859-05-01 00:00:00,33.91514,296.5628
1859-06-01 00:00:00,33.91059,298.03876
1859-07-01 00:00:00,33.92562,300.23138
1859-08-01 00:00:00,33.96247,300.81308
1859-09-01 00:00:00,33.999798,301.81024
1859-10-01 00:00:00,34.014442,301.67432
1859-11-01 00:00:00,34.017006,300.55762
1859-12-01 00:00:00,34.01205,298.95462
1860-01-01 00:00:00,33.978657,297.51202
1860-02-01 00:00:00,33.929436,296.86298
1860-03-01 00:00:00,33.908733,296.70602
1860-04-01 00:00:00,33.89772,297.2669
1860-05-01 00:00:00,33.856647,298.1961
1860-06-01 00:00:00,33.873478,300.08966
1860-07-01 00:00:00,33.900417,301.09302
1860-08-01 00:00:00,33.919262,301.8827
1860-09-01 00:00:00,33.943012,302.09525
1860-10-01 00:00:00,33.964714,301.81476
1860-11-01 00:00:00,33.964157,301.12573
1860-12-01 00:00:00,33.95545,299.74487
1861-01-01 00:00:00,33.9211,297.29388
1861-02-01 00:00:00,33.886463,297.20645
1861-03-01 00:00:00,33.85814,296.84528
1861-04-01 00:00:00,33.843193,296.87085
1861-05-01 00:00:00,33.844646,298.2448
1861-06-01 00:00:00,33.863026,299.4916
1861-07-01 00:00:00,33.89114,300.75546
1861-08-01 00:00:00,33.897816,301.0004
1861-09-01 00:00:00,33.909092,301.2646
1861-10-01 00:00:00,33.922886,301.39407
1861-11-01 00:00:00,33.91357,300.92532
1861-12-01 00:00:00,33.890812,299.18976
1862-01-01 00:00:00,33.8561,297.1879
1862-02-01 00:00:00,33.809776,295.47748
1862-03-01 00:00:00,33.775414,295.6204
1862-04-01 00:00:00,33.776134,296.66153
1862-05-01 00:00:00,33.791813,297.4837
1862-06-01 00:00:00,33.808514,299.1658
1862-07-01 00:00:00,33.83753,300.78217
1862-08-01 00:00:00,33.87191,301.10657
1862-09-01 00:00:00,33.896553,301.45642
1862-10-01 00:00:00,33.90758,301.3122
1862-11-01 00:00:00,33.9119,300.5804
1862-12-01 00:00:00,33.904846,299.0496
1863-01-01 00:00:00,33.87948,296.7614
1863-02-01 00:00:00,33.872974,295.77805
1863-03-01 00:00:00,33.861984,295.40344
1863-04-01 00:00:00,33.86605,296.5297
1863-05-01 00:00:00,33.86707,298.16235
1863-06-01 00:00:00,33.87476,299.35684
1863-07-01 00:00:00,33.88431,300.69998
1863-08-01 00:00:00,33.89295,301.2673
1863-09-01 00:00:00,33.89269,301.66595
1863-10-01 00:00:00,33.90545,301.51126
1863-11-01 00:00:00,33.903152,300.6636
1863-12-01 00:00:00,33.86788,298.81818
1864-01-01 00:00:00,33.81147,297.82492
1864-02-01 00:00:00,33.75631,297.16284
1864-03-01 00:00:00,33.739983,296.3113
1864-04-01 00:00:00,33.74138,296.251
1864-05-01 00:00:00,33.75302,297.3323
1864-06-01 00:00:00,33.778206,299.22394
1864-07-01 00:00:00,33.7979,300.64688
1864-08-01 00:00:00,33.832443,301.49478
1864-09-01 00:00:00,33.862293,301.85205
1864-10-01 00:00:00,33.88363,301.85886
1864-11-01 00:00:00,33.8977,300.60724
1864-12-01 00:00:00,33.90136,298.6315
1865-01-01 00:00:00,33.894722,296.78943
1865-02-01 00:00:00,33.871197,296.2734
1865-03-01 00:00:00,33.85367,296.18564
1865-04-01 00:00:00,33.837322,296.42453
1865-05-01 00:00:00,33.83012,297.9502
1865-06-01 00:00:00,33.849884,299.6539
1865-07-01 00:00:00,33.865665,300.66718
1865-08-01 00:00:00,33.91411,301.22186
1865-09-01 00:00:00,33.93683,301.60168
1865-10-01 00:00:00,33.946434,301.17606
1865-11-01 00:00:00,33.96503,300.484
1865-12-01 00:00:00,33.97527,299.25583
1866-01-01 00:00:00,33.96797,297.67444
1866-02-01 00:00:00,33.959225,296.08722
1866-03-01 00:00:00,33.939545,296.16275
1866-04-01 00:00:00,33.93288,297.22632
1866-05-01 00:00:00,33.945507,297.10614
1866-06-01 00:00:00,33.975273,299.0404
1866-07-01 00:00:00,33.99801,300.513
1866-08-01 00:00:00,34.013767,301.14722
1866-09-01 00:00:00,34.012836,301.14502
1866-10-01 00:00:00,34.01295,300.81277
1866-11-01 00:00:00,34.00557,300.57816
1866-12-01 00:00:00,33.996105,299.15826
1867-01-01 00:00:00,33.96914,297.4175
1867-02-01 00:00:00,33.9246,295.8696
1867-03-01 00:00:00,33.89243,295.38452
1867-04-01 00:00:00,33.86568,296.45847
1867-05-01 00:00:00,33.855415,297.62244
1867-06-01 00:00:00,33.87248,299.22687
1867-07-01 00:00:00,33.898453,300.614
1867-08-01 00:00:00,33.915565,301.1714
1867-09-01 00:00:00,33.931248,301.73425
1867-10-01 00:00:00,33.936813,301.32538
1867-11-01 00:00:00,33.933685,300.97034
1867-12-01 00:00:00,33.92277,299.83627
1868-01-01 00:00:00,33.91046,298.6371
1868-02-01 00:00:00,33.888947,296.77344
1868-03-01 00:00:00,33.870365,296.85318
1868-04-01 00:00:00,33.869156,297.1407
1868-05-01 00:00:00,33.874336,297.95035
1868-06-01 00:00:00,33.879776,299.6593
1868-07-01 00:00:00,33.891457,301.09546
1868-08-01 00:00:00,33.921947,301.48666
1868-09-01 00:00:00,33.9505,301.59055
1868-10-01 00:00:00,33.969013,301.01385
1868-11-01 00:00:00,33.987175,300.0906
1868-12-01 00:00:00,33.991074,297.57336
1869-01-01 00:00:00,33.969734,296.8635
1869-02-01 00:00:00,33.938854,295.60974
1869-03-01 00:00:00,33.918037,295.3989
1869-04-01 00:00:00,33.88811,296.36758
1869-05-01 00:00:00,33.890102,297.76114
1869-06-01 00:00:00,33.904263,299.63516
1869-07-01 00:00:00,33.911026,301.0236
1869-08-01 00:00:00,33.921085,301.4623
1869-09-01 00:00:00,33.932274,302.25162
1869-10-01 00:00:00,33.95123,301.53497
1869-11-01 00:00:00,33.949074,300.28015
1869-12-01 00:00:00,33.941917,298.28848
1870-01-01 00:00:00,33.92219,297.3872
1870-02-01 00:00:00,33.89785,297.20047
1870-03-01 00:00:00,33.8735,296.4435
1870-04-01 00:00:00,33.854134,296.44797
1870-05-01 00:00:00,33.864326,297.59686
1870-06-01 00:00:00,33.90619,299.24197
1870-07-01 00:00:00,33.930798,300.45627
1870-08-01 00:00:00,33.949318,301.4276
1870-09-01 00:00:00,33.974518,301.55627
1870-10-01 00:00:00,33.983406,301.14862
1870-11-01 00:00:00,33.98826,300.7257
1870-12-01 00:00:00,33.99751,299.20486
1871-01-01 00:00:00,33.962337,297.16507
1871-02-01 00:00:00,33.92679,296.53842
1871-03-01 00:00:00,33.89472,296.19696
1871-04-01 00:00:00,33.83802,296.54837
1871-05-01 00:00:00,33.823414,298.32294
1871-06-01 00:00:00,33.84081,299.9853
1871-07-01 00:00:00,33.869072,300.94315
1871-08-01 00:00:00,33.915585,301.3662
1871-09-01 00:00:00,33.931694,301.75912
1871-10-01 00:00:00,33.941864,301.12494
1871-11-01 00:00:00,33.944256,300.14963
1871-12-01 00:00:00,33.936523,298.60272
1872-01-01 00:00:00,33.9233,297.24014
1872-02-01 00:00:00,33.904125,296.47653
1872-03-01 00:00:00,33.89323,295.74234
1872-04-01 00:00:00,33.916424,297.11472
1872-05-01 00:00:00,33.92119,298.06784
1872-06-01 00:00:00,33.933407,299.42197
1872-07-01 00:00:00,33.958225,301.06244
1872-08-01 00:00:00,33.97468,301.47476
1872-09-01 00:00:00,33.981354,301.05383
1872-10-01 00:00:00,33.982735,301.043
1872-11-01 00:00:00,33.97802,300.01184
1872-12-01 00:00:00,33.967007,298.36926
1873-01-01 00:00:00,33.94979,297.1528
1873-02-01 00:00:00,33.938915,296.45374
1873-03-01 00:00:00,33.922108,295.36404
1873-04-01 00:00:00,33.89976,295.94327
1873-05-01 00:00:00,33.880695,297.23224
1873-06-01 00:00:00,33.88487,299.0744
1873-07-01 00:00:00,33.910114,300.38647
1873-08-01 00:00:00,33.939587,301.41345
1873-09-01 00:00:00,33.95718,301.72824
1873-10-01 00:00:00,33.979538,301.12164
1873-11-01 00:00:00,33.985325,300.25443
1873-12-01 00:00:00,33.97166,299.02167
1874-01-01 00:00:00,33.940228,297.7171
1874-02-01 00:00:00,33.903996,296.4587
1874-03-01 00:00:00,33.87328,295.88327
1874-04-01 00:00:00,33.850136,296.72818
1874-05-01 00:00:00,33.851162,297.80862
1874-06-01 00:00:00,33.861378,299.28754
1874-07-01 00:00:00,33.872345,300.29187
1874-08-01 00:00:00,33.921875,301.06854
1874-09-01 00:00:00,33.95444,301.80405
1874-10-01 00:00:00,33.96508,301.54123
1874-11-01 00:00:00,33.961723,300.79025
1874-12-01 00:00:00,33.95688,299.05658
1875-01-01 00:00:00,33.92711,298.2092
1875-02-01 00:00:00,33.88926,297.67926
1875-03-01 00:00:00,33.87298,296.6274
1875-04-01 00:00:00,33.855427,296.88608
1875-05-01 00:00:00,33.833904,298.19626
1875-06-01 00:00:00,33.851208,299.43246
1875-07-01 00:00:00,33.884705,301.0627
1875-08-01 00:00:00,33.924343,301.39072
1875-09-01 00:00:00,33.978226,301.34262
1875-10-01 00:00:00,33.98656,301.1646
1875-11-01 00:00:00,33.983852,300.6586
1875-12-01 00:00:00,33.98292,298.40387
1876-01-01 00:00:00,33.95617,297.87653
1876-02-01 00:00:00,33.92153,296.7582
1876-03-01 00:00:00,33.899487,297.04163
1876-04-01 00:00:00,33.86966,296.55444
1876-05-01 00:00:00,33.87041,297.77502
1876-06-01 00:00:00,33.90765,299.22757
1876-07-01 00:00:00,33.923954,301.07288
1876-08-01 00:00:00,33.96839,301.58472
1876-09-01 00:00:00,33.986237,301.731
1876-10-01 00:00:00,33.994583,301.7201
1876-11-01 00:00:00,33.99766,300.92963
1876-12-01 00:00:00,33.972546,298.73743
1877-01-01 00:00:00,33.963284,296.562
1877-02-01 00:00:00,33.93338,296.5121
1877-03-01 00:00:00,33.906982,296.18192
1877-04-01 00:00:00,33.914604,296.51224
1877-05-01 00:00:00,33.90223,297.5904
1877-06-01 00:00:00,33.91882,299.75916
1877-07-01 00:00:00,33.943405,301.32123
1877-08-01 00:00:00,33.954384,301.50433
