"time","CO06LIFI","CO05BAFI","CO04LIFI","CO04BAFI","CO93COTW","CO00URMA","CO14CABT","CO04KIVA","CO96QUVA","CO99GUMI","CO98QUNC","CO12GOVA","CO99DRGB","CO13HENG","CO13HENG.1","CO13HENG.2","CO06QUNG","CO07CAFR","CO95TUNG","CO01TUNG","CO01TUNG.1","CO05ASGU","CO04MGNG","CO14OSPA","CO14OSPA.1","CO03CHBU","CO14CATI","CO17RAPA","CO17RAPA.1","CO17LITW01A","CO17MUMA","CO03CHBA","CO00KUNI","CO99KUHO","CO14ZIHO","CO17XISC01A","CO17DESC04A","CO17DESC01A","CO17DESC02A","CO17DESC03A","CO13DESC01A","CO15ABSP","CO08ABSU","CO18HECO01A","CO18HECO01B","CO04PFCH","CO97CHSY","CO04PFRE","CO00COKY","CO09NAKY","CO98SWPR","CO06MOPE","CO06MOTO","CO10HEIG","CO02KUBE","CO05KUBE","CO00DRBE","CO08GOBE","CO08HEVE","CO08KIPR","CO17WUBO1A","CO18RELC01A","CO96SWBB","CO96SWFB","CO99SWFB","CO94LISE","CO13CAHN","CO13CAHN.1","CO13CABL","CO92SHPU","CO94DUUR","CO99LICL","CO14WUCL","CO98BOFP","CO13COXM","CO98EVXM","CO13COTB","CO09NUTB","CO04LIRA","CO03COPM","CO11NUPM","CO18DATO01A"
"1851-01-01 00:00:00",-5.42855714,-5.42855714,-5.42855714,-5.42855714,-5.52144963000001,-5.51703888000001,-5.59519884000001,-5.39057506,-5.59580083000001,-5.68353018000001,-4.79377574000001,-5.37903744000001,-4.99426425,-5.64064143,-5.64064143,-5.64064143,-5.77267207,-5.27007036000001,-4.94031633000001,-4.94031633000001,-4.94031633000001,-5.723951562,-5.76374696000001,-6.19307453000001,-6.19307453000001,-6.51467035,-6.37053384,-4.86160759,-4.86160759,-4.40010572000001,-6.5415296,-6.27809530000001,-6.55233091000001,-5.19913697000001,-4.08817877,-4.16918412000001,-4.16918412000001,-4.16918412000001,-4.16918412000001,-4.16918412000001,-4.16918412000001,-6.46497806,-6.57091870000001,-5.67351884,-5.67351884,-6.032604795,-5.62608922,-5.04619736,-5.26544931500001,-5.26401880000001,-5.97524417,-4.21738395000001,-4.69336882000001,-4.69213500000001,-3.73761355,-3.73761355,-3.73761355,-3.96567456,-4.61554936000001,-4.6179454,-4.59230355000001,-4.9360894,-4.39343845,-4.39963733,-4.39963733,-5.54263373,-4.71897750000001,-4.71897750000001,-4.70097690000001,-5.18228625000001,-5.17727946,-5.59272718700001,-5.59272718700001,-5.16497350000001,-5.06893464,-5.07000752,-5.474078,-5.474078,-4.83467594,-5.74495785,-5.74495785,-4.98189544
"1851-02-01 00:00:00",-5.66215595,-5.66215595,-5.66215595,-5.66215595,-5.48402353000001,-5.47853990000001,-5.53344863,-5.71125693,-5.87120348,-5.61271433000001,-5.13537102000001,-5.6909099,-5.29899924000001,-5.83712040000001,-5.83712040000001,-5.83712040000001,-5.78092668000001,-5.5625185,-4.94078247000001,-4.94078247000001,-4.94078247000001,-5.541360722,-5.76793853,-6.0854686,-6.0854686,-6.31103258000001,-6.2979364,-4.73952826000001,-4.73952826000001,-4.17921978,-6.44218760000001,-6.17384124,-6.38560922000001,-5.36152782,-4.37682542000001,-3.79796181,-3.79796181,-3.79796181,-3.79796181,-3.79796181,-3.79796181,-6.29559914,-6.46855787,-5.84500122000001,-5.84500122000001,-5.99461376,-5.69585680000001,-5.2440165,-5.38342620500001,-5.38235332000001,-5.80430742,-4.03156105,-4.63016760000001,-4.4972027,-3.52585424000001,-3.52585424000001,-3.52585424000001,-3.75669866000001,-4.4261633,-4.41683600000001,-4.4023214,-4.7651311,-4.2936011,-4.29515084,-4.29515084,-5.34293232,-4.63616036000001,-4.63616036000001,-4.62495470000001,-5.38651741000001,-5.36708630000001,-5.32894386700001,-5.32894386700001,-5.5027352,-5.03351837000001,-5.03494890000001,-5.39652298,-5.39652298,-5.07570405,-5.61451740000001,-5.61451740000001,-5.27644770000001
"1851-03-01 00:00:00",-5.7942613,-5.7942613,-5.7942613,-5.7942613,-5.48736876000001,-5.47902410000001,-5.55787108000001,-5.81020505000001,-5.99835887,-5.62799195000001,-5.21283220000001,-5.78214083,-5.37764177,-5.90528142,-5.90528142,-5.90528142,-5.74515985000001,-5.58604060000001,-4.88426657,-4.88426657,-4.88426657,-5.47996266000001,-5.75435122,-6.05871414,-6.05871414,-6.32210262,-6.31180856,-4.6758532,-4.6758532,-4.1982002,-6.56528413000001,-6.07755680000001,-6.54632243,-5.82619499000001,-4.83009879000001,-3.81646575850001,-3.81646575850001,-3.81646575850001,-3.81646575850001,-3.81646575850001,-3.81646575850001,-6.28014778,-6.35236206,-5.99495880000001,-5.99495880000001,-6.03171000000001,-5.63671701000001,-5.474724056,-5.66826343,-5.66361427,-5.69086172000001,-4.05588885,-4.59401765000001,-4.39811565000001,-3.41591490000001,-3.41591490000001,-3.41591490000001,-3.61986580000001,-4.34079137000001,-4.31773960000001,-4.31981053000001,-4.65019360000001,-4.25751396000001,-4.25644110000001,-4.25644110000001,-5.41649945800001,-4.540577,-4.540577,-4.5381928,-5.50878799000001,-5.48744953000001,-5.30846601,-5.30846601,-5.70614726,-5.09512728,-5.09691542,-5.45790994000001,-5.45790994000001,-5.30306126,-5.633283,-5.633283,-5.51739206
"1851-04-01 00:00:00",-5.80970473,-5.80970473,-5.80970473,-5.80970473,-5.52451678,-5.51807948,-5.6111353,-5.81144707000001,-5.9623726,-5.63810170000001,-5.24745570000001,-5.77341122,-5.26432734,-5.84578226000001,-5.84578226000001,-5.84578226000001,-5.71148655000001,-5.53392996,-4.92097761000001,-4.92097761000001,-4.92097761000001,-5.43903949,-5.73238749400001,-6.063777875,-6.063777875,-6.32717827000001,-6.21914313000001,-4.84928728,-4.84928728,-4.47309885,-6.6481236,-6.11701605,-6.55969573000001,-5.12641658,-4.73606618,-4.74625743200001,-4.74625743200001,-4.74625743200001,-4.74625743200001,-4.74625743200001,-4.74625743200001,-6.31968813000001,-6.41548692,-5.99723272000001,-5.99723272000001,-6.05086136,-5.66151997,-5.52908646,-5.90604843,-5.88947834,-5.80551043000001,-4.1427736,-4.68963170000001,-4.3799561,-3.3998712,-3.3998712,-3.3998712,-3.58811236000001,-4.32411910000001,-4.34832,-4.27965404000001,-4.57948504000001,-4.3226653,-4.32242686,-4.32242686,-5.44430326800001,-4.50009240000001,-4.50009240000001,-4.50164210000001,-5.55186266000001,-5.53040499000001,-5.33340977000001,-5.33340977000001,-5.62927235000001,-5.18639607000001,-5.18866104000001,-5.53466210000001,-5.53466210000001,-5.23400750000001,-5.65112673,-5.65112673,-5.52805270000001
"1851-05-01 00:00:00",-5.68432064,-5.68432064,-5.68432064,-5.68432064,-5.55867306000001,-5.55581204000001,-5.6944417,-5.75952266,-5.86928558000001,-5.65075330000001,-5.08605310000001,-5.77637988,-5.01090954000001,-5.78849938000001,-5.78849938000001,-5.78849938000001,-5.72393435000001,-5.34015632000001,-5.049232285,-5.049232285,-5.049232285,-5.45955326,-5.77447815,-6.040270414,-6.040270414,-6.46883897,-6.27296510000001,-5.22588379,-5.22588379,-5.02258594,-6.87737156000001,-6.5079169,-6.5765112,-4.73936587000001,-4.68237487000001,-5.27730243,-5.27730243,-5.27730243,-5.27730243,-5.27730243,-5.27730243,-6.38856895000001,-6.38236265,-6.11741207000001,-6.11741207000001,-6.16459594000001,-5.81583559000001,-5.41985123900001,-5.87821029300001,-5.85806392000001,-5.87981119,-4.06247350000001,-4.85006225000001,-4.5586568,-3.36721340000001,-3.36721340000001,-3.36721340000001,-3.54450636,-4.5597349,-4.5893096,-4.51419695,-4.71806280000001,-4.38684570000001,-4.38768020000001,-4.38768020000001,-5.39055001,-4.7941739,-4.7941739,-4.79763095,-5.48861046,-5.45940418,-5.43818774000001,-5.43818774000001,-5.59578446000001,-5.34721034,-5.34887927,-5.64860737000001,-5.64860737000001,-5.11441223,-5.72426542000001,-5.72426542000001,-5.24188980000001
"1851-06-01 00:00:00",-5.38782582,-5.38782582,-5.38782582,-5.38782582,-5.6433549,-5.63894416,-5.73221770000001,-5.53110449,-5.7319097,-5.69909000000001,-4.66521310000001,-5.51685176,-4.6493444,-5.54461203000001,-5.54461203000001,-5.54461203000001,-5.65360870000001,-4.99690378000001,-5.07032950400001,-5.07032950400001,-5.07032950400001,-5.56730338000001,-5.817410367,-6.118314645,-6.118314645,-6.54068953000001,-6.13201407000001,-5.626697955,-5.626697955,-5.61991494100001,-6.73076610000001,-6.45453694000001,-5.73358841,-4.05454527000001,-4.44900087000001,-5.82312361,-5.82312361,-5.82312361,-5.82312361,-5.82312361,-5.82312361,-6.43879516,-6.51649410000001,-6.19441313000001,-6.19441313000001,-6.06324225,-5.88621154400001,-5.294487773,-5.49271943220001,-5.48509003770001,-5.97537166000001,-4.09677670000001,-4.90920950000001,-4.71907784,-3.5152268,-3.5152268,-3.5152268,-3.6806882,-4.68825164000001,-4.71948767,-4.64295210000001,-4.85284016000001,-4.6863873,-4.68579124,-4.68579124,-5.43216629000001,-4.93815754,-4.93815754,-4.9404225,-5.40943722,-5.35054783,-5.59619507000001,-5.59619507000001,-5.46816031,-5.40176497000001,-5.40248022000001,-5.69714945000001,-5.69714945000001,-4.99433408,-5.79541542,-5.79541542,-4.96022958
"1851-07-01 00:00:00",-5.10083403000001,-5.10083403000001,-5.10083403000001,-5.10083403000001,-5.75376287000001,-5.74887530000001,-5.79578446,-5.11640189,-5.31198444,-5.74743107,-4.3645519,-5.09705545,-4.2684715,-5.20187444000001,-5.20187444000001,-5.20187444000001,-5.56079529,-4.63532196,-4.88766335500001,-4.88766335500001,-4.88766335500001,-5.77331624,-5.80828446,-6.12411804,-6.12411804,-6.36236600000001,-5.84702674,-5.82049702400001,-5.82049702400001,-5.99730130000001,-6.36598486,-6.19097496,-5.06294047000001,-3.68612620400001,-4.31418880400001,-6.23407521000001,-6.23407521000001,-6.23407521000001,-6.23407521000001,-6.23407521000001,-6.23407521000001,-6.42935987000001,-6.54505296000001,-5.9842365,-5.9842365,-5.81531730600001,-5.69535561,-4.97831298500001,-5.14538322600001,-5.14520441200001,-6.06713831,-4.278637,-5.08145558000001,-4.84435346000001,-3.96141117,-3.96141117,-3.96141117,-4.13946275,-4.8355192,-4.83308145,-4.80512086,-5.07266083000001,-5.05008085,-5.05127295,-5.05127295,-5.35170711000001,-5.03589377000001,-5.03589377000001,-5.03160223000001,-5.18366330000001,-5.16053670000001,-5.76505193,-5.76505193,-5.2929688,-5.4881279,-5.49122735,-5.7059057,-5.7059057,-4.64611358,-5.75732068000001,-5.75732068000001,-4.69109841
"1851-08-01 00:00:00",-5.04503364,-5.04503364,-5.04503364,-5.04503364,-5.87245717000001,-5.86518540000001,-5.9058985,-4.89775965000001,-5.11364913000001,-5.89531420000001,-4.11630585000001,-4.86726033,-3.99293732000001,-4.9247563,-4.9247563,-4.9247563,-5.22799407000001,-4.34612976000001,-4.61281153600001,-4.61281153600001,-4.61281153600001,-5.932573726,-5.55543106000001,-6.06665583,-6.06665583,-5.962603715,-5.61158090000001,-5.94298253300001,-5.94298253300001,-6.169488649,-6.1144845,-5.92232314000001,-4.46357129500001,-3.22848880400001,-4.099827404,-6.24874491000001,-6.24874491000001,-6.24874491000001,-6.24874491000001,-6.24874491000001,-6.24874491000001,-6.01544523000001,-6.19074370000001,-5.74731773000001,-5.74731773000001,-5.751458474,-5.47642604000001,-4.69581405500001,-4.8898389533,-4.8922827437,-5.98158829100001,-4.50164490000001,-5.33637938000001,-4.93106186000001,-4.459096,-4.459096,-4.459096,-4.5823571,-4.99554456000001,-4.9246862,-4.95322526000001,-5.15984827,-5.1644706,-5.166974,-5.166974,-5.50221585800001,-4.9655756,-4.9655756,-4.9531778,-4.89813809000001,-4.88633637000001,-5.78175662000001,-5.78175662000001,-4.93689460000001,-5.5370358,-5.5382279,-5.76940482000001,-5.76940482000001,-4.40222828,-5.79307277000001,-5.79307277000001,-4.56686493000001
"1851-09-01 00:00:00",-4.97487073000001,-4.97487073000001,-4.97487073000001,-4.97487073000001,-5.94802906,-5.9382539,-6.01333114000001,-4.79941852000001,-5.04776956000001,-5.89528068000001,-3.98076303000001,-4.76349682,-3.80920764,-4.85701345,-4.85701345,-4.85701345,-5.16684521000001,-4.19505106000001,-4.51537774000001,-4.51537774000001,-4.51537774000001,-5.95964344100001,-5.48801606000001,-5.98935105500001,-5.98935105500001,-5.85390939800001,-5.60543017,-5.983886664,-5.983886664,-6.19894347,-6.0294223,-5.83415555,-4.54287076,-3.38431225000001,-3.83994985000001,-6.29241618000001,-6.29241618000001,-6.29241618000001,-6.29241618000001,-6.29241618000001,-6.29241618000001,-5.332735275,-5.57208933000001,-5.46391138,-5.46391138,-5.92176941700001,-5.45489464,-4.54102435500001,-4.838172416,-4.84270237,-5.60873322,-4.66242113000001,-5.55652192000001,-5.0807216,-4.71292227,-4.71292227,-4.71292227,-4.78396395,-5.19650176,-5.01548290000001,-5.1390429,-5.18908940000001,-5.20745380000001,-5.21055325000001,-5.21055325000001,-5.64281049000001,-5.07184580000001,-5.07184580000001,-5.05110340000001,-4.74763916,-4.7301154,-5.8558958,-5.8558958,-4.92899312,-5.41229652000001,-5.41432308000001,-5.706552,-5.706552,-4.28471892,-5.81648185,-5.81648185,-4.39093093
"1851-10-01 00:00:00",-4.98829564,-4.98829564,-4.98829564,-4.98829564,-5.976681,-5.9741776,-6.03840802000001,-4.8553563,-5.15287707000001,-5.90908194,-3.93854145,-4.79105254000001,-3.84920252,-4.97159738000001,-4.97159738000001,-4.97159738000001,-5.24274880000001,-4.14899027000001,-4.55308262,-4.55308262,-4.55308262,-6.13159569000001,-5.51414526000001,-5.97923264,-5.97923264,-5.73571456,-5.53771647000001,-6.01576717000001,-6.01576717000001,-6.20215833,-5.87505342000001,-5.70004264,-5.051364641,-3.69789820000001,-3.74747960000001,-6.24104572,-6.24104572,-6.24104572,-6.24104572,-6.24104572,-6.24104572,-5.20560317,-5.53094760000001,-5.36185717,-5.36185717,-6.07043441000001,-5.532348194,-4.51003142,-4.81325844,-4.81838444,-5.36733142000001,-4.80096010000001,-5.4395228,-5.1658094,-4.80555066000001,-4.80555066000001,-4.80555066000001,-4.86966173,-5.24329054000001,-5.08776275000001,-5.20955430000001,-5.24154716,-5.20651230000001,-5.21461854000001,-5.21461854000001,-5.64622146000001,-5.10773550000001,-5.10773550000001,-5.08055576000001,-4.80874170000001,-4.79264845000001,-6.038316936,-6.038316936,-4.87832257000001,-5.25513947000001,-5.25573552000001,-5.65703184000001,-5.65703184000001,-4.31310870000001,-5.86003934,-5.86003934,-4.39985454000001
