time,SALT,TS
1851-01-01 00:00:00,35.923115,298.75186
1851-02-01 00:00:00,36.068176,298.15298
1851-03-01 00:00:00,36.16363,297.9546
1851-04-01 00:00:00,36.21332,297.99643
1851-05-01 00:00:00,36.174023,298.6145
1851-06-01 00:00:00,36.144276,299.39157
1851-07-01 00:00:00,36.17055,299.78143
1851-08-01 00:00:00,36.075195,300.03488
1851-09-01 00:00:00,35.810932,300.3577
1851-10-01 00:00:00,35.53793,300.5128
1851-11-01 00:00:00,35.361282,300.42252
1851-12-01 00:00:00,35.44421,299.96185
1852-01-01 00:00:00,35.679707,299.24545
1852-02-01 00:00:00,35.891434,298.68625
1852-03-01 00:00:00,36.04582,298.3696
1852-04-01 00:00:00,36.096104,298.63965
1852-05-01 00:00:00,36.106026,299.25464
1852-06-01 00:00:00,36.1485,299.7555
1852-07-01 00:00:00,36.183773,300.19315
1852-08-01 00:00:00,36.155464,300.44446
1852-09-01 00:00:00,36.003094,300.7429
1852-10-01 00:00:00,35.783955,300.72363
1852-11-01 00:00:00,35.662716,300.4492
1852-12-01 00:00:00,35.754322,299.92432
1853-01-01 00:00:00,35.970165,299.12228
1853-02-01 00:00:00,36.15216,298.37222
1853-03-01 00:00:00,36.240368,298.13614
1853-04-01 00:00:00,36.27373,298.19424
1853-05-01 00:00:00,36.23866,298.80112
1853-06-01 00:00:00,36.21588,299.4424
1853-07-01 00:00:00,36.20665,299.85693
1853-08-01 00:00:00,36.111618,300.08194
1853-09-01 00:00:00,35.906258,300.36942
1853-10-01 00:00:00,35.714054,300.45425
1853-11-01 00:00:00,35.64404,300.1388
1853-12-01 00:00:00,35.72357,299.67587
1854-01-01 00:00:00,35.907467,298.93295
1854-02-01 00:00:00,36.119762,298.09164
1854-03-01 00:00:00,36.190365,297.7939
1854-04-01 00:00:00,36.182552,297.8977
1854-05-01 00:00:00,36.150833,298.45413
1854-06-01 00:00:00,36.14468,299.00537
1854-07-01 00:00:00,36.13917,299.37784
1854-08-01 00:00:00,36.051006,299.77884
1854-09-01 00:00:00,35.92786,300.1872
1854-10-01 00:00:00,35.81393,300.09946
1854-11-01 00:00:00,35.714626,299.84363
1854-12-01 00:00:00,35.75699,299.3933
1855-01-01 00:00:00,35.969276,298.4538
1855-02-01 00:00:00,36.114002,297.68262
1855-03-01 00:00:00,36.18655,297.446
1855-04-01 00:00:00,36.2058,297.73392
1855-05-01 00:00:00,36.1897,298.16306
1855-06-01 00:00:00,36.1574,298.84375
1855-07-01 00:00:00,36.11949,299.28665
1855-08-01 00:00:00,36.02945,299.667
1855-09-01 00:00:00,35.86926,300.17294
1855-10-01 00:00:00,35.787754,300.36307
1855-11-01 00:00:00,35.727936,300.09747
1855-12-01 00:00:00,35.787617,299.38925
1856-01-01 00:00:00,35.950996,298.55112
1856-02-01 00:00:00,36.098816,297.8043
1856-03-01 00:00:00,36.137856,297.62485
1856-04-01 00:00:00,36.128357,297.85648
1856-05-01 00:00:00,36.11616,298.6166
1856-06-01 00:00:00,36.123753,299.2216
1856-07-01 00:00:00,36.10996,299.6134
1856-08-01 00:00:00,36.01297,299.94626
1856-09-01 00:00:00,35.837032,300.24835
1856-10-01 00:00:00,35.62993,300.36096
1856-11-01 00:00:00,35.527782,299.9244
1856-12-01 00:00:00,35.577282,299.52097
1857-01-01 00:00:00,35.779484,298.7904
1857-02-01 00:00:00,35.973217,298.12662
1857-03-01 00:00:00,36.05634,298.0387
1857-04-01 00:00:00,36.126926,298.3207
1857-05-01 00:00:00,36.148056,298.73483
1857-06-01 00:00:00,36.16712,299.1118
1857-07-01 00:00:00,36.141766,299.42343
1857-08-01 00:00:00,36.05905,299.89343
1857-09-01 00:00:00,35.92337,300.36722
1857-10-01 00:00:00,35.72261,300.44925
1857-11-01 00:00:00,35.547665,300.14844
1857-12-01 00:00:00,35.606552,299.58188
1858-01-01 00:00:00,35.829376,298.76083
1858-02-01 00:00:00,36.036747,298.15207
1858-03-01 00:00:00,36.137646,298.10135
1858-04-01 00:00:00,36.226124,298.15906
1858-05-01 00:00:00,36.232162,298.8533
1858-06-01 00:00:00,36.25782,299.43753
1858-07-01 00:00:00,36.254513,299.81558
1858-08-01 00:00:00,36.133255,300.07626
1858-09-01 00:00:00,35.8605,300.4316
1858-10-01 00:00:00,35.611687,300.3846
1858-11-01 00:00:00,35.587765,300.18332
1858-12-01 00:00:00,35.746967,299.69434
1859-01-01 00:00:00,35.983196,298.92154
1859-02-01 00:00:00,36.177418,298.13724
1859-03-01 00:00:00,36.240917,297.94388
1859-04-01 00:00:00,36.235096,298.06674
1859-05-01 00:00:00,36.206436,298.40503
1859-06-01 00:00:00,36.128067,299.11047
1859-07-01 00:00:00,36.052578,299.5176
1859-08-01 00:00:00,35.94666,299.85532
1859-09-01 00:00:00,35.78152,300.26547
1859-10-01 00:00:00,35.552784,300.33072
1859-11-01 00:00:00,35.442844,300.13663
1859-12-01 00:00:00,35.54089,299.5842
1860-01-01 00:00:00,35.74201,298.8201
1860-02-01 00:00:00,35.932465,298.1307
1860-03-01 00:00:00,36.04666,297.91434
1860-04-01 00:00:00,36.069813,298.2184
